,,,,
1,reviewer_hash,project_hash,commit,project_url
,,,,
2,e8262828c39061e4c1c9072303de082ee51b31b0,5d40dc141a1a70883551f506ae1990b6f386122c,5246106,https://github.com/JesusAcuna/data-engineering-project
3,e8262828c39061e4c1c9072303de082ee51b31b0,b8be34c5edd9a7704d7222b7bc66a39b145a325b,7854704,https://github.com/ANelson82/de_zoomcamp_2022_earthquake_capstone
4,e8262828c39061e4c1c9072303de082ee51b31b0,9f1000a7780bd9ab99b76dcbda4f8867ec293ba9,472a25d,https://github.com/davidag/data-engineering-zoomcamp/tree/main/final_project
5,71e1a7593e51c4d1bc83b319051f53a524dc1327,f4d8ea9549ada13483c122cb792d176672040681,e579b39,https://github.com/PandaKata/dezoomcamp-project
6,71e1a7593e51c4d1bc83b319051f53a524dc1327,a4867307d2b8d3ccaa318f3cd4651aca50cb55d5,25d2d60,https://github.com/YahyaMohand/train_delay_analysis_DE
7,71e1a7593e51c4d1bc83b319051f53a524dc1327,4387aa6a90b3a891e5d0e89b803c81cfdbf1ba7e,ccd02b0,https://github.com/mrsvllmr/de_zoomcamp_2023_project.git
8,3cf547ec7e26305be0460ffe5438ca82a86fbb6e,bf9cc04144ae945a3122ba0b2ffce17ac25311a9,bea50b2,https://github.com/CloudsProgram/pltr_project
9,3cf547ec7e26305be0460ffe5438ca82a86fbb6e,083886ec72f4de0839bcbe1902cc3f1bd82d19c7,96d6803,https://github.com/boisalai/twitter-dashboard
10,3cf547ec7e26305be0460ffe5438ca82a86fbb6e,5d0c35c5be5ea552f992a95d3a81146505c805e8,3da2af2,https://github.com/mbertrand/eo-climate-pipeline
11,d52ce856f369ea47fd6e3469fdb1ad424750690e,8263eef22abb777f33288883749144a6802cd587,18a5af9,https://github.com/Hunter-99/de-course-final-project
12,d52ce856f369ea47fd6e3469fdb1ad424750690e,cbfa322d555de1bde5f140164183d5348c62e6ae,67946d8,https://github.com/jagadish432/jagadish-dezoomcamp-final-project
13,d52ce856f369ea47fd6e3469fdb1ad424750690e,38481d20bd50485e4807c3835979b94c374a0069,baf7a32,https://github.com/dattapadal/tsnpdcl_de
14,7d770591541ed4c4968cd16e9d479ddbcabbe589,20abc9843cc348b25201a55fa9f10f9fbb115ff0,5e81a82,https://github.com/biomlds/dez-capstone-project-2023
15,7d770591541ed4c4968cd16e9d479ddbcabbe589,a3f4cee8f3698c28a18e4dabfb01b4c9fc35d3ef,efbd780,https://github.com/shalltearb1oodfallen/airbnb
16,7d770591541ed4c4968cd16e9d479ddbcabbe589,e8262828c39061e4c1c9072303de082ee51b31b0,63eaa01,https://github.com/TFong1/sf_crime/
17,a6d15b9edc8052467783700fb90238b9916701f6,37ee242cc0136ec47502c8e5af75086a2e9a239b,93ea77b,https://github.com/clamytoe/de_capstone
18,a6d15b9edc8052467783700fb90238b9916701f6,cdffaa7bd6d3c83f8429b940a5652d99e442494f,95948ba,https://github.com/SophiaUrena/zoomcamp-project
19,a6d15b9edc8052467783700fb90238b9916701f6,86624a5ee02d96bdb86c27d2b0d0248c614ce4f7,ed349dd,https://github.com/Ezzaldin97/online-store-pipeline.git
20,ce6b965c61f558f93a198fcf610a3c640c1ff4b1,3b209cb4eef515f980421f011cc4e0caabae4e55,10a0d9b,https://github.com/mikecolemn/mpls-311-data
21,ce6b965c61f558f93a198fcf610a3c640c1ff4b1,8c02e20fb1b3a8da7bfae513b4cd82a2cf7b68b8,3b73b14,https://github.com/AniWaffl/dezoomcamp-project
22,ce6b965c61f558f93a198fcf610a3c640c1ff4b1,71a9af3f32aaaa8c7d0223b6531e4dd634d2b6e0,f8fb3bb,https://github.com/shivanipadal/Fire_Incident_DE
23,38481d20bd50485e4807c3835979b94c374a0069,a6d15b9edc8052467783700fb90238b9916701f6,47dd53c,https://github.com/waggjeff/DE-Zoomcamp-FinalProject
24,38481d20bd50485e4807c3835979b94c374a0069,ce6b965c61f558f93a198fcf610a3c640c1ff4b1,a57621d,https://github.com/JaimeArboleda/de-zoomcamp-capstone
25,38481d20bd50485e4807c3835979b94c374a0069,d52ce856f369ea47fd6e3469fdb1ad424750690e,cf13393,https://github.com/ETM1123/divvy-data-pipeline
26,384dd00dd53c5fa77641c7dcee34981f021b35a1,1a2cddc803b39d8cb4194854d85cd54f7940ccac,bf05fd7,https://github.com/oktavianidewi/github-data-pipeline
27,384dd00dd53c5fa77641c7dcee34981f021b35a1,0d2a4c21d13bfed95db2e4854f4b09cd6f4c4118,b11094e,https://github.com/Eugenirfan/Toronto_crime_etl
28,384dd00dd53c5fa77641c7dcee34981f021b35a1,c7ab5e9ef3f1c435394f5b00fbc0bf711eaa4161,4d0d9d4,https://github.com/svetlanakononova/smm-analyze
29,71a9af3f32aaaa8c7d0223b6531e4dd634d2b6e0,384dd00dd53c5fa77641c7dcee34981f021b35a1,62d61a9,https://github.com/bartoszsklodowski/de_zoomcamp_project
30,71a9af3f32aaaa8c7d0223b6531e4dd634d2b6e0,9c7f31eb19bf3cca2704d34bfe49a1a2b93c9520,4267168,https://github.com/NielKemp/DEZoomcampProject
31,71a9af3f32aaaa8c7d0223b6531e4dd634d2b6e0,f448d518be48447d44c8622461c7f78310d8c27c,2cb791a,https://github.com/subinkpaul/chicago_crimes_project.git
32,69a9a47ebbb38c8e927c232e459eae2e53f2b38c,e573f08bb739f17ab838f19e0dc8805692ff5372,cb2bae5,https://github.com/baidlowi/DataEngineer/tree/main/Tourism%20Destination%20Insight
33,69a9a47ebbb38c8e927c232e459eae2e53f2b38c,cc85604e55c34bbee345968137e6f722aabeca96,8ba3096,https://github.com/GbotemiB/gharchive_DE_project/
34,69a9a47ebbb38c8e927c232e459eae2e53f2b38c,1bc510d3fdb8e14f5fd4aa28acd74d0d95225420,b20a151,https://github.com/padilha/nyc-motor-vehicle-collisions
35,fbc1c72d25aafa55ecdb0423ee8940d3139ba8a4,9f1000a7780bd9ab99b76dcbda4f8867ec293ba9,472a25d,https://github.com/davidag/data-engineering-zoomcamp/tree/main/final_project
36,fbc1c72d25aafa55ecdb0423ee8940d3139ba8a4,e221600fcf3e6b662fb50cf97d71e4ab34ff07ca,fa90c2e,https://github.com/Data-Think-2021/DE-Final-Project-CO2
37,fbc1c72d25aafa55ecdb0423ee8940d3139ba8a4,f0218d24e286631ef68fbf207bef7857546c691a,995f634,https://github.com/enochiankim/data-engineering-zoomcamp-2023_Final_Project
38,eb2bbc1450b8c9ef48faaa406fc901a1fc36199d,77c1a0ff8524544a57fdaf26b18f92a434e85b86,7e5c795,https://github.com/aydark1/de_zoomcamp_repo
39,eb2bbc1450b8c9ef48faaa406fc901a1fc36199d,a6d15b9edc8052467783700fb90238b9916701f6,47dd53c,https://github.com/waggjeff/DE-Zoomcamp-FinalProject
40,eb2bbc1450b8c9ef48faaa406fc901a1fc36199d,2c03147686d3670e5a5769514edb070ce0d11bca,fcb75d6,https://github.com/Valkea/DE_bootcamp_project
41,b096698a22a49e438e5a6111496c57715244114f,b5d4cde2160818cc9e1e0e1dddb11806a030c9bb,15cb850,https://github.com/ahmdxrzky/de-zoomcamp-2023/tree/main/final_project
42,b096698a22a49e438e5a6111496c57715244114f,6c3690cd335c7cb4695adf3dda7671d880ddf8c2,38e5f6c,https://github.com/MekongDelta-mind/de_zoomcamp_2023_capstone
43,b096698a22a49e438e5a6111496c57715244114f,94c2eee7b8c4c8f1a7990fd68cea4db19e4a2d5c,a39fc94,https://github.com/Mani1213/Data_engineering_zoomcamp.git
44,b184fdb2324b73c04b78379e31221b2a5cc0544a,4919ebb30f59ac61f6e2aa900fd599fa41bee26e,35af06d,https://github.com/SebastianGrosss/de-zoomcamp-project-gc
45,b184fdb2324b73c04b78379e31221b2a5cc0544a,1bc510d3fdb8e14f5fd4aa28acd74d0d95225420,b20a151,https://github.com/padilha/nyc-motor-vehicle-collisions
46,b184fdb2324b73c04b78379e31221b2a5cc0544a,fb40292c3b515729872a6a477880e8058ce86f8e,ff715c7,https://github.com/dariader/bird_cy_flow
47,77b26e75f72bf2f0311b984b4c5e4e88ef6798c0,f448d518be48447d44c8622461c7f78310d8c27c,2cb791a,https://github.com/subinkpaul/chicago_crimes_project.git
48,77b26e75f72bf2f0311b984b4c5e4e88ef6798c0,d5f4ecef26257503a87edca286049c50e2435679,a5b3d54,https://github.com/JMGGarcia/fifa-data-pipeline
49,77b26e75f72bf2f0311b984b4c5e4e88ef6798c0,38222de4f27c47bcc38439b46c83dedf552c36cd,312f07a,https://github.com/chintalapudipraneeth/DataEngineering
50,b8be34c5edd9a7704d7222b7bc66a39b145a325b,94c2eee7b8c4c8f1a7990fd68cea4db19e4a2d5c,a39fc94,https://github.com/Mani1213/Data_engineering_zoomcamp.git
51,b8be34c5edd9a7704d7222b7bc66a39b145a325b,e12ad93068c6e56bfd3da781febb49a17b0d5833,9.11E+11,https://github.com/DmitriiK/DEZC-FinalProject
52,b8be34c5edd9a7704d7222b7bc66a39b145a325b,08afe7c4abef321c2f6b56f308057de1e9935d48,82228bc,https://github.com/rzabolotin/de_zoomcamp_2023_project
53,acefbcffee893a9f9aac392088ec27845ab84322,5adee8d45a20ee30cbdd7efb131f670647a6d1bc,378dc20,https://github.com/yegireddihemanth/Data-engineering-zoomcamp
54,acefbcffee893a9f9aac392088ec27845ab84322,aa92834ac421ebb5d450fada441b589a3b33c364,6829f0e,https://github.com/nutritiouss/de_zoocamp/tree/dev/Project
55,acefbcffee893a9f9aac392088ec27845ab84322,ce6b965c61f558f93a198fcf610a3c640c1ff4b1,a57621d,https://github.com/JaimeArboleda/de-zoomcamp-capstone
56,5a6723f02fd571b03134b6285c163c8ea61be0c2,11cd6245b1b3c779d8a61daf60d8e503c22a61e8,9aedc1f,https://github.com/vspatil/citibike-data-pipeline
57,5a6723f02fd571b03134b6285c163c8ea61be0c2,5d40dc141a1a70883551f506ae1990b6f386122c,5246106,https://github.com/JesusAcuna/data-engineering-project
58,5a6723f02fd571b03134b6285c163c8ea61be0c2,7e188d6b8be7dd9e5e587968802a527f206772d4,4951c60,https://github.com/Fedrpi/de-zoomcamp-bandcamp-project
59,3e23644c3b93d2eb561ffd8214adf1c63bbf6995,49ef6959eae65ce2cc6aa584f8ee6145c36dd1ce,e350e3b,https://github.com/seacevedo/Solana-Pipeline
60,3e23644c3b93d2eb561ffd8214adf1c63bbf6995,d29f38f52659f8b9f2264c30d312cf12295787a3,af13ed9,https://github.com/VeraZab/nyc-stats
61,3e23644c3b93d2eb561ffd8214adf1c63bbf6995,9c7f31eb19bf3cca2704d34bfe49a1a2b93c9520,4267168,https://github.com/NielKemp/DEZoomcampProject
62,5559dd3677d7dbcc5d5e5525487c67ff322a2936,083886ec72f4de0839bcbe1902cc3f1bd82d19c7,96d6803,https://github.com/boisalai/twitter-dashboard
63,5559dd3677d7dbcc5d5e5525487c67ff322a2936,8d83a4576392cf1a2452c4b9f6ffae8b47a7eb2a,0dfb9f3,https://github.com/MikhailKuklin/data-pipeline-COVID19-monitoring
64,5559dd3677d7dbcc5d5e5525487c67ff322a2936,a400d69bf93fc00020d0e31f1ebade00fb9679d7,5353160,https://github.com/ashsii/dezoomcamp-project2023
65,1a39734a26892d9d4de034dc7df6350e9c7705da,5a03d11b6b966105ba2fd0b56d91d90506671adc,7d1158a,https://github.com/MGibadulin/de_zoomcamp_2023/tree/main/final_project
66,1a39734a26892d9d4de034dc7df6350e9c7705da,d276cb415b8f47879648bb6d2afe18147d029490,434c733,https://github.com/ISazhyna/capstone_data_engineering
67,1a39734a26892d9d4de034dc7df6350e9c7705da,20abc9843cc348b25201a55fa9f10f9fbb115ff0,5e81a82,https://github.com/biomlds/dez-capstone-project-2023
68,2f25917e0fcf5c7eaa59a78286eb4948b9e7d1aa,4387aa6a90b3a891e5d0e89b803c81cfdbf1ba7e,ccd02b0,https://github.com/mrsvllmr/de_zoomcamp_2023_project.git
69,2f25917e0fcf5c7eaa59a78286eb4948b9e7d1aa,20abc9843cc348b25201a55fa9f10f9fbb115ff0,5e81a82,https://github.com/biomlds/dez-capstone-project-2023
70,2f25917e0fcf5c7eaa59a78286eb4948b9e7d1aa,9c9f5291cd009160fc517defb36ab30389d9cfc0,f66bb27,https://github.com/Jawakar/coins_dashboard
71,376b7c08242b5748373344def8533d8633a8632f,dfb7f9d02fd37ab31357dc9953360e0cf3baf8a6,8dbbbda,https://github.com/GrzegorzGatkowski/Air_Pollution_Pipeline
72,376b7c08242b5748373344def8533d8633a8632f,b096698a22a49e438e5a6111496c57715244114f,91b5181,https://github.com/civispro/de_zoomcamp_project
73,376b7c08242b5748373344def8533d8633a8632f,285a4b398445d5840904555c6cf19218760fd761,0e6fe63,https://github.com/tujimmy/de-tor-bikeshare
74,8263eef22abb777f33288883749144a6802cd587,1faa8ddda531d9377c1ef8fc8f76ad7f487bab66,6a8b9f1,https://github.com/lars-sorgalla/data-eng-zoomcamp-2023
