project_url,project_title
https://github.com/rebekamukherjee/citibike-data-pipeline,Biking Data Insights
https://github.com/RoshchinM/de_zoomcamp_2024_UCL_2016-2022,Champion Insights Dashboard
https://github.com/chrisdamba/patent-analytics-pipeline,Patent Insight Analytics
https://github.com/Abubakrmali2/DE-Movies-Project,Movie Insights Pipeline
https://github.com/muhilhamfajar/youtube-analysis-de-zoomcamp,Insightful YouTube Analytics
https://github.com/demapumpum/flight-analytics,NAIA Flight Metrics
https://github.com/nyan222/roman_empire_zoomcamp,Roman Empire Sentiment Analysis
https://github.com/rafaelcuperman/de-zoomcamp-project,Mental Health Dashboard Pipeline
https://github.com/stellalo/Data-Engineering-Capstone-KEGG-dataset-,Fungal Genomics Analysis
https://github.com/BrightOsas/Youtube-data-pipeline,Insights from YouTube Data
https://github.com/duythvn/duythzoomcampcapstone,Support Ticket Insights
https://github.com/GBlanch/Data-Eng-Zoomcamp-capstone/tree/main,Sleeping Disorder Professions
https://github.com/zy969/film-genre-insights,Film Genre Dashboard Insights
https://github.com/ppatrzyk/wiki-events,Wikipedia Analytics Dashboard
https://github.com/CALewis1955/Philly-Crime-Incidents,Philadelphia Crime Analysis Dashboard
https://github.com/PathornKiti/project-dezoomcamp2024,Bangkok Airbnb Dashboard
https://github.com/2000aliali/End-End-data-engineering-Project-streaming-from-random-users-API-to-cassandera,Data Pipeline Automation
https://github.com/gdumie01/dezc2024-proj-exoplanets,Exoplanet Dashboard Pipeline
https://github.com/caspercrause/Police-Incident-Reports/tree/master,Crime Insight SF
https://github.com/FiddlerBB/de_zoomcamp/tree/main/project,Vietnam's Air Quality
https://github.com/Khorjle92/DZC_Project,Global Suicide Analysis Dashboard
https://github.com/el-grudge/money-diaries,Spending Insights Dashboard
https://github.com/Tunde338/zoomcamp/tree/zoomcamp,Based on the limited information provided
https://github.com/samsoberanis/mental_health_data_engineering_project,Insights Dashboard: Mental
https://github.com/iharmcd/dezoomcamp_FinalProject/,FBI Search Trends Analysis
https://github.com/sarah-zhan/data_pipeline_amazon_products,Amazon Data Visualization
https://github.com/10Kang/DE_Zoomcamp2024_ZY/tree/main/project_1_coffee_shop,ZUS Coffee Sales Dashboard
https://github.com/murkenson/movies_tv_shows_data_pipeline,Streaming Service Analysis
https://github.com/l0ggik/de-zoomcamp-2024-weather-pipeline,Cloud Weather Visualization
https://github.com/subrockmann/farm-screener,Swiss Farm Map
https://github.com/quezon/data-pipeline-OpenFoodFacts,Nutrition Data Dashboard
https://github.com/gutfalla/Real-state-prices-UK,Real Estate Price Analysis
https://github.com/CusiTEC/Project-Course-Data-Engineering-,Data Pipeline Creation
https://github.com/Metwaa/youtube_channels,Global YouTube Insights
https://github.com/NotYetBenGan/base/blob/main/DEZoomCamp/MyProject/README.md,Unknown
https://github.com/Wilson2214/air-quality-analysis/tree/main,Transit Air Quality Analysis
https://github.com/hsviscarra/RealEstateAnalysis.git,Connecticut Real Estate Analysis
https://github.com/lddurbin/data-eng-project,Data Pipeline Mastery
https://github.com/nnphuyen563/Crop-Production-Pipeline-Project,Crop Insights Dashboard
https://github.com/psousasa/my-street-analytics,Mobile App Data Pipeline
https://github.com/FaisalQ07/de-reddit-reports,Reddit Metrics Dashboard
https://github.com/mik19821/dezoomcamp2024-project,Polish Wildlife Visualization
https://github.com/jeanpaulrd1/de-zc-final-project,FIFA World Cup Analysis
https://github.com/JChz6/DE-ZCamp-Project,Peruvian Property Sales Dataset
https://github.com/kbc10/arl-parks-reservations,Arlington Reservation Dashboard
https://github.com/kiramishima/crimes_in_mexico_city_analysis,Mexico City Crime Analysis
https://github.com/KevinPericart/Data-engineering-Project,Cloud Data Pipeline
https://github.com/endiesworld/zoomcamp_de_project,Cycling Insights 2022
https://github.com/kiliantscherny/Fun-With-LEGO-data,LEGO Data Dashboard
https://github.com/TerryLiu207/DE-homework/tree/Project,Please provide me with the topic
https://github.com/davidvanegas2/StreamSoft-Real-Time-Market-Analysis,Stock Analytics Platform
https://github.com/Siddha911/Citibike-data-project,Citibike Usage Analysis
https://github.com/sl2902/retail_data_pipeline,E-commerce Data Pipeline
https://github.com/tylerlian/airbnb_etl_pipeline/tree/main,Optimal Airbnb Locations
https://github.com/andrewng88/de_zoomcamp/tree/main/project,Cloud Data Pipeline
https://github.com/ranga4all1/de-retail-sales,Montgomery County Data Pipeline
https://github.com/Ashraf1395/customer_retention_analytics,Churn Analysis Optimization
https://github.com/HangenYuu/zoomcamp-final-project,NYT Best Sellers Dashboard
https://github.com/TasneemAhmed/jobs-salary-in-data-field/tree/master,Data Salary Insights
https://github.com/heman2002/data-engineering-project,Stock Metrics Visualization
https://github.com/nenalukic/air-quality-project,Python Data Pipeline
https://github.com/jeffCheng/TPE-Theft-Report,Taipei Theft Hotspots
https://github.com/Yifan1801/nytimes_pipeline,Bestseller Insights Dashboard
https://github.com/mrdair/Movienest,Automated Movie Data Pipeline
https://github.com/Cbas12/LA_CRIMES_zoomcamp_2024.git,LA Crime Insights
https://github.com/Hari-cbe/Used-Car-Price-data-analysiss.git,Used Car Price Factors
https://github.com/paddelcourt/berlin_airport_datapipeline_project,Berlin Airport Flight Insights
https://github.com/cch0/data-engineering-zoomcamp-2024-project,Real-Time Weather Analytics
https://github.com/yh2527/github_daily_activities_dashboard,GitHub Activity Tracker
https://github.com/Shivakumar-Guhesh/nse-data-engineering,NSE Data Analytics Dashboard
https://github.com/abhi-kr12/de-zoomcamp-playstore,Google Play Insights
https://github.com/adityachaudhary99/dataengineering-motor-vehicles-collision-analysis-project,NY Collision Risk Analysis
