project_url,project_title
https://github.com/GuillermoFabian/llm-end-to-end-app/tree/main,GitHub Insights Hub
https://github.com/ArturGR3/food_search_RAG,Recipe Explorer Hub
https://github.com/aleksandr-dzhumurat/leaf-bro,Leaf Companion Network
https://github.com/hwting1/LLM-Zoomcamp-Project,Contextual Medical Insights
https://github.com/thorstenfoltz/llm_rag,Insightful PDF Extraction
https://github.com/maks36-dev/llm-chatbot,Insightful Quote Navigator
https://github.com/bsacli/CustomerAssistRAG.git,AI-Driven Care
https://github.com/luiscs-dev/llm_rag_chess,Insightful Chess Strategies
https://github.com/hanaahammad/HH-LLM-Project,Engaging Cricket Talks
https://github.com/VladKha/kaggle-competition-assistant/tree/main,Leaderboard Buddy
https://github.com/dbeta95/pdf-papers-assistant-project/tree/master,Research Made Simple
https://github.com/tzhsu211/llm-zoomcamp/tree/main/07--project,Tailored Supplement Insights
https://github.com/aashalabi/tek_buddy,Troubleshoot Wizard
https://github.com/gzcarlos/banksa,Expense Insight Hub
https://github.com/julie1/Find-a-Doctor,Find Hip Experts
https://github.com/atishgautam07/investiq-qna-rag,Savvy Trading Insights
https://github.com/AMaldu/interview_preparation_bot,Chatbot Coach
https://github.com/Moris0n/HypnoQ,Clarity in Hypnosis
https://github.com/Alexander-Heinz/vdi_chatbot,Dynamic Query Assistant
https://github.com/antihaddock/llm-zoomcamp-assessment,Urgency Chat Assistant
https://github.com/EstifanosTeklay/NBEDirectivesAssist,Quick Regulatory Insights
https://github.com/milanimcgraw/Nutrition-Facts-Chat-Assistant/tree/main,Dietary Wisdom Chat
https://github.com/TimBeckerAachen/job-search-application,Swift Career Solutions
https://github.com/mac2bua/ai-driving-theory-teacher/tree/main,Learn Driving Dynamics
https://github.com/ArkadiyShuvaev/llm-zoomcamp-smart-mail,Tailored Email Support
https://github.com/Sampayob/rag-youtube-titles-generator,Catchy Title Machine
https://github.com/sagardampba2022w/Knowledge_Assistant,Simplified Research Insights
https://github.com/marc-soler/health-assistant,Trustworthy Wellness Guide
https://github.com/XiaoLirui/LLM_Project,Smart Money Navigator
https://github.com/lbdlbdlbdl/philosophy-rag,Structured Access to Philosophy
https://github.com/Dannycesp/datascience_rag_bot,Insights Unlocked
https://github.com/seacevedo/rekt_qa_system,Crypto Breach Breakdown
https://github.com/agutiernc/contributor_assistant,Open Source Ally
https://github.com/Mani1213/LLM-Zoomcamp.git,AI Applications Academy
https://github.com/romanaumov/YouTube-Browser,Smart Content Explorer
https://github.com/PerisN/Healthcare-QandA-System,Conversational Health Guide
https://github.com/rzabolotin/nz-visa-assistant,Kiwi Immigration Chat
https://github.com/mj-ml/llm-shop-assistant,Retail Companion Tool
https://github.com/Enzoherewj/RAG-chatbot,Karamazov Engagement Tool
https://github.com/Abhisheknakka/datatalks-final-project,Smart Dining Guide
https://github.com/Blaqadonis/my_rag_project/tree/main/course_project,Dynamic PDF Explorer
https://github.com/thanhnhatt29/Movies_Assistant,Custom Cinema Explorer
https://github.com/Avyukth/open-llm-rag,PDF Inquiry Helper
https://github.com/otacilio-psf/Chat-Gourmet-AI/,Dinner Simplified
https://github.com/kperv/git-assistant,Git Query Mastery
https://github.com/lvsuno/Recipes_Assistant,Taste Buddy
https://github.com/KonuTech/llm-zoomcamp-capstone-01,Interactive Game Support
https://github.com/beotavalo/geospatial-chat,Engaging Client Interactions
https://github.com/yusyel/rag-wiki-helpers,Discover Germany Tips
https://github.com/Gjloz009/rag_system_for_traffic_regulations_cdmx,Traffic Flow Enhancer
https://github.com/padmapria/RAG-Care-Mental-Wellness-Assistant,Empowered Health Companion
https://github.com/mmgxa/rag-with-eval,Insightful Research Navigation
https://github.com/hypertoast/llm-zoomcamp-2024/,Unknown
https://github.com/omjirapat/llm-zoomcamp/tree/main/llm_zoomcamp_project,Tailored Data Access
https://github.com/khushal2911/crypto-linguist-ama-bot,Currency Companion
https://github.com/Yasser-Cloud/life-coach-assistant/tree/main,Find Your Balance
https://github.com/PathornKiti/llm_zoomcamp_2024_project/,Digital Empathy Guide
https://github.com/tarasenya/llm-zoomcamp/tree/main/Project,Command Clarity Unlocked
https://github.com/ranga4all1/q-and-a-chatbot,Streamlined Hiring Process
https://github.com/sofianfadli95/llm_crypto,Crypto Investment Navigator
https://github.com/wufengyou/Pet-Care-RAG-Application,Adoption Simplified
https://github.com/gfgrillo3/MessiXpert-Assistant,Messi Knowledge Center
https://github.com/batxes/LLM_steel_classification/tree/main,Steel Insights Unleashed
https://github.com/slv-ai/YumQuest/tree/main,Intelligent Cooking Companion
https://github.com/krmdel/medical_assistant_rag,Patient Empowerment Hub
https://github.com/danstd/vehicle_user_manual_rag_public,Intelligent Auto Aid
https://github.com/ctrl-A-del-specs/benefits-claims,Simplified Benefit Navigation
https://github.com/tristandatascience/llm_zoomcamp_project,Document Dialogue Assistant
https://github.com/MCAyd/financial-faq-assistant-llm-rag-vector-search,Smart Data Retrieval
https://github.com/artemji/llm-zoomcamp-2024-project,Answer Crafting Tool
https://github.com/nahumsa/llm-security-chatbot,Trustworthy AI Solutions
https://github.com/zaahirdawood/Ecom-QABot,Interactive Shopping Guide
https://github.com/slavaheroes/chat-with-video,**Dynamic Video Q&A**
https://github.com/el-grudge/deep-pod,Explore Podcast Transcripts
https://github.com/danilson33/llm-zoomcamp-project,Smart Nutrition Advisor
https://github.com/avinashvootkuri/Cancer_Q-A_chatbot,Cancer Support Assistant
https://github.com/anammari/BioMedical-ai-assistant,Unlocking Research Insights
https://github.com/romaHerman/lego-RAG/tree/main,Commit Simplification Tools
https://github.com/bluemusk24/LLM-diet-assitant/tree/main,Adaptive Nutrition Helper
https://github.com/DmitriiK/telegram_rag_search,Visual Topic Mapping
https://github.com/haghighi2697/llm_final_project/tree/main,Policy Insights Unlocked
https://github.com/tiznobaik/llm-zoomcamp-project,Simplifying Consumer Reports
https://github.com/M4riaLoureiro/ethical-travel-recommender,Travel with Purpose
https://github.com/jdaguilar/llm-zoomcamp-project,Hudi FAQ Assistant
https://github.com/Chalermdej-l/LLM_Stock_Analysis/tree/main,Intuitive Finance Conversations
https://github.com/Brahm13/sql_prep_assistant.git,Quick SQL Solutions
https://github.com/HaChan/llm-zoomcamp-rails-doc-project,Doc Assistant Plus
https://github.com/VRabinin/llm-zoomcamp-capstone,SQL Made Simple
https://github.com/g-stavrakis/Investment_Assistant,Efficient Investment Overview
https://github.com/zwe-htet-paing/cook-assistant,Kitchen Aid
https://github.com/a-t-em/Store-Products-RAG-App,Query Enhancement Insights
https://github.com/btalha23/Personalized_Recipe_Generator,Creative Ingredient Use
https://github.com/thompsgj/ragnificent,Effortless Style Navigation
https://github.com/amogh-kalalbandi/gadget-spec-bot,Tech Specs Navigator
https://github.com/shivkurtarkar/sql-rag.git,SQL Simplified
https://github.com/Ebukachuqz/fabrizo-ai-rag-app,Football Q&A Deep Dive
https://github.com/AishwaryaHastak/RAG-using-T5,Smart Query Helper
https://github.com/GustavoBrites/medical-conversational-ai,Health Insight Guide
https://github.com/quickSilverShanks/VidSage,Insightful Video Learning
https://github.com/quzanh1130/food_order_assistant.git,Savvy Menu Advisor
https://github.com/dimzachar/Parthenon-RAG-Game,Interactive Knowledge Adventure
https://github.com/thedatadudech/llm_project_llama,Smart Contracts Unlocked
https://github.com/dmitrykosintsev/dtc-maths-helper,Intelligent Math Guidance
https://github.com/okellodaniel/URA_Faq_llm_Chatbot_API,Tax Talk Assistant
https://github.com/Wali-Mohamed/PrimalHealth,Community Diet Wisdom
https://github.com/Bcopeland64/LLM-Zoomcamp/commit/c339828d9845e52ead61f6398aae68c97403f71e,Unknown
https://github.com/F-U-Njoku/travel_itinerary_builder/tree/main,Custom Itinerary Planner
https://github.com/arsonor/AI-Powered-Knowledge-Assistant-for-Audio-Prod,Sound Design Unlocked
https://github.com/AkshaysNimbalkar/AviMate-LLM,Cockpit Companion Revolution
https://github.com/elinaharnovich/food-hazard-detection,Risk Evaluation Guide
https://github.com/Tobai24/logos,Insightful Faith Journey
https://github.com/hariprasath-v/Nnet101_Assistant,Neural Network Discoveries
https://github.com/dmytrovoytko/llm-interview-assistant,Interviewing Made Easy
https://github.com/jelambrar96-datatalks/book-review-assistant,Tailored Literary Journeys
https://github.com/Optimistix/Movie_Chatbot,Entertainment Exploration Buddy
https://github.com/BarrCoder2024/2024_Zoom_Camp_RAG_Project,Intelligent Wellness Aid
https://github.com/Abhisheknakka/AI-Restaurent-Chat-bot,Savory Suggestion Buddy
https://github.com/nrx33/yoga-companion-rag/,Yoga Journey Companion
https://github.com/relew/LLM_WisdomWhisperer,Engaging with Ancient Thought
https://github.com/taikuchou/llm-zoomcamp-project,RAG Movie Navigator
https://github.com/AdairPonceuwu/ch_llm/tree/main,Ollama Setup Essentials
https://github.com/barely-functional-de/SlackademicAdvisor-RAG,Integrated Knowledge Network
https://github.com/sam23121/ChefAssistAI/,Cook's Best Friend
https://github.com/AudhootChavan/llm_zc_2024_project_audhoot_chavan_parlamind,Governance Unplugged
https://github.com/spencer18001/llm_zoomcamp_project_2024,**Sherlock’s Interactive Secrets**
https://github.com/Betaperson/Academic-Paper-RAG,Targeted Paper Locator
https://github.com/Fazle-hasan/Half_girlfriend,Conversational AI Friend
https://github.com/MichaelShoemaker/PlaylistGuide-LLM,Insightful Playlist Guide
https://github.com/anqma/mental-health-chatbot/tree/main,Clarity on Demand
https://github.com/nathadriele/biophenotype-rag,Knowledge on Phenotypes
https://github.com/dmytrovoytko/llm-exam-assistant,RAG Learning Guide
https://github.com/hadrrb/movie-assistant,Tailored Movie Picks
https://github.com/GuillermoFabian/llm-end-to-end-app.git,Knowledge Engagement Platform
