project_url,project_title,Deployment Type,Reason,Cloud
https://github.com/hoe94/DTC_MLOPS_Project,MLOps for Customer C,Batch,batch,AWS
https://github.com/kargarisaac/mlops-zoomcamp-final-project,Sentiment Prediction Platform,Unknown,Unknown,Unknown
https://github.com/N3wBaz/mlops_zoomcamp_project,Diabetes Prediction,Unknown,Unknown,Unknown
https://github.com/Nerdward/Mlops_project,House Price Prediction,Unknown,Unknown,Unknown
https://github.com/Mithrandir7/mlops-zoomcamp-project,Rent Price Prediction,Unknown,Unknown,AWS
https://github.com/drew-two/MLOpsFinal,Traffic Sign Recognition AI,Streaming,kinesis,AWS
https://github.com/TSFelg/mlops_zoomcamp_project,Retail Trends Forecasted,Unknown,Unknown,GCP
https://github.com/slavaheroes/mlops-zoomcamp-project,Fake News Classification,Web Service,flask,Unknown
https://github.com/ammarchalifah/mlops-smoke-detection,Smoke Prediction Pipeline,Web Service,flask,Unknown
https://github.com/IzicTemi/e2e_fake_news_classifier,Fake News Detector,Web Service,flask,AWS
https://github.com/alevalve/MLOPS_FINAL_PROJECT/tree/main/Final_Project,Unknown,Unknown,Unknown,Unknown
https://github.com/piyush-an/Weather-Prediction-MLOps,Smart Weather Prediction,Web Service,fastapi,Unknown
https://github.com/froukje/ml-ops-zoomcamp/tree/master/07-project,Building Heat Analysis,Batch,batch,Unknown
https://github.com/louismichel100/End_Project_MLOPS.git,ECG Heart Failure Prediction,Unknown,Unknown,AWS
https://github.com/EphraimX/mlops-zoomcamp-capstone-project,Emotion Naming Assistant,Unknown,Unknown,Unknown
https://github.com/modfa/MLOps-Final-Project,Car Price Prediction,Unknown,Unknown,AWS
https://github.com/cmigpereira/mlops-zoomcamp-project,Vehicle Price Prediction,Web Service,flask,AWS
https://github.com/hannapethani/mlops-project.git,Bike Ride Time Prediction,Batch,batch,Unknown
https://github.com/nahumsa/nyc-yellow-tripdata,NYC Taxi Time Prediction,Web Service,flask,Unknown
https://github.com/adamiaonr/mlops-zoomcamp-project,Bus Delay Prediction,Unknown,Unknown,AWS
https://github.com/surawut-jirasaktavee/course-mlops-zoomcamp/tree/main/08-project-capstone,Churn Prediction Service,Web Service,flask,AWS
https://github.com/rgareev/mlops-openfoodfacts,NOVA Group Prediction System,Batch,batch,AWS
https://github.com/sergeykochetkov/mlopsproject,Stock Forecasting AI,Batch,batch,AWS
https://github.com/PatrickCmd/mlops-project,BikeShare ML Pipeline,Batch,batch,AWS
https://github.com/adamgifford-behavr/exercise_prediction,Exercise Category Prediction,Batch,batch,AWS
https://gitlab.com/neimv/mlops-project,Unknown,Unknown,Unknown,Unknown
https://github.com/caldasdeoliveira/mlops-zoomcamp-final-project-infra,MLOps Zoomcamp Infrastructure,Unknown,Unknown,Unknown
https://github.com/burcins/mlops-zoomcamp-main-project,Quality Wine Classification,Web Service,web service,Unknown
https://github.com/moizsajid/mlops_zoomcamp/tree/main/project,Car Price Prediction,Web Service,web service,AWS
https://github.com/WLDCH/covid19-deaths-prediction,France's Covid19 Death,Unknown,Unknown,GCP
https://github.com/KarimLulu/mlops-loan-prediction,Loan Return Prediction,Web Service,flask,AWS
https://github.com/brut0/mining-process-mlops-project,Silica Concentrate Prediction,Web Service,flask,Yandex Cloud
https://github.com/K0nkere/kkr-mlops-project.git,Car Price Prediction,Batch,batch,AWS
