project_url,project_title
https://github.com/Alvaro-Kothe/MLOps-Zoomcamp-Project,Mushroom Prediction
https://github.com/abdala9512/mlops-zoomcamp-project-2023,Churn Prediction Solution
https://github.com/rishikeshF/old_car_price_prediction_mlops,Car Price Prediction
https://github.com/GattigorlaShivani/MLOPS_ZOOMCAMP.git,Unknown
https://github.com/Mani1213/MLOps_Zoomcamp.git,ML Deployment Mastery
https://github.com/Blaqadonis/human_action_recognition_app,Human Activity Classification
https://github.com/jblanco89/MLOps_zoomcamp_course,Stock Price Forecasting
https://github.com/yshen92/mlops-capstone-project,Automated Email Spam Prediction
https://github.com/rehamessameltagoury/Loan-Approval-Prediction/,Loan Approval Prediction
https://github.com/Elsayed91/taxi-data-pipeline,Data Pipeline Automation
https://github.com/KonuTech/mlops-zoomcamp-project,Used Car Price Prediction
https://github.com/Shubh18s/mlops-zoomcamp-2023-project,NYC Citibike
https://github.com/benitomartin/mlops-car-prices,Auto Price Prediction
https://github.com/HCA97/LOL-Match-Outcome,Winning Team Prediction
https://github.com/EugenePog/car-price-evaluation,Car Value Calculator
https://github.com/sheperd007/MLOps-Zoomcamp-Course/tree/main/07-projects/1,CT-based COVID Prediction
https://github.com/albwrekt/mlops_zoomcamp_final_project/tree/main,Unknown
https://github.com/JlnLNT/mlops-project,SE France Energy Prediction
https://github.com/yegireddihemanth/MLOpps-Zoomcamp.git,Modern MLOps Techniques
https://github.com/carrionalfredo/Pistachio-Classifier,Pistachio Type Identifier
https://github.com/edcalderin/student-dropout-prediction-mlops,Dropout Risk Prediction
https://github.com/mosesdaudu001/project-mlops-zoomcamp,Air Pollution Forecasting
https://github.com/martinnnuez/Energy_Efficiency,Building Heat Predictions
https://github.com/venky-lucky/MLOPS_ZoomCamp/tree/main/git_project,Unknown
https://github.com/samlafell/mlops_zoomcamp_sam/tree/master/07-project,Wine Label Prediction
https://github.com/fandemisterling100/mlops-final-project,Money Laundering Prediction
https://github.com/ioannismesionis/mlops-zoomcamp-assignment,Car Price Prediction
https://github.com/iamzeynepcetin/mlops_project,Diabetes Prediction Pipeline
https://github.com/bsenst/mlops/tree/main/experiments/health-pipeline,Cardiac Screening Challenges
https://github.com/BuzzKanga/Project-XGBoost-MLOps,Churn Prediction with X
https://github.com/Tobi-Ade/mlops_customer_churn_prediction,Churn Prediction Automation
https://github.com/RoberVega/Showcase,Virtual Environment Creation
https://github.com/Irf4n-Muhammad/MLOPS-Project-Youtube-Trending/blob/main/README.md,Unknown
https://github.com/kawczy83/2023_MLOps_Final_Project/,Creditworthiness Prediction
https://github.com/chintalapudipraneeth/MlOpsZoomCamp/tree/main,Unknown
https://github.com/amine-akrout/mlops-zoomcamp-capstone,Credit Default Prediction AI
https://github.com/Data-Think-2021/mlops-final-project/tree/main,Unknown
https://github.com/ayeffkay/mlops_zoomcamp_project/tree/develop,Unknown
https://github.com/suri976/ML_OPS_ZOOM_CAMP/tree/main,Unknown
https://github.com/sebastiancontz/ml-ops-zoomcamp-project,Unit Price Prediction
https://github.com/bkraffa/mlopszoomcampproject,Chicago Bike Trip Prediction
https://github.com/antihaddock/mlops_camp_project,Length of Stay Prediction
https://github.com/seacevedo/Splatoon_Battle_Prediction,Predicting Splatoon Winners
https://github.com/skipper-com/dtc_mlops_course_project,NYC Airbnb Prediction
https://github.com/Sebasfac/MLOPS_zoomcamp_project/tree/main,Unknown
https://github.com/MANOJ21K/MLOPs.git,NYC Taxi MLO
https://github.com/Bcopeland64/Zoomcamp-Notebooks/tree/main,Unknown
https://github.com/qCircuit/zoomcamp_project,Bitcoin Price Prediction
https://github.com/weslleyalmeid/credit_risk_mlops/tree/main,Unknown
https://github.com/suparshukov/escooters-demand-mlops,Chicago Scooter Forecasting
https://github.com/mussiehaile/Bank-Churn-end-to-end.git,Bank Churn Prediction
https://github.com/Joseun/lightsonheights,News Verifier AI
https://github.com/rehamessameltagoury/Loan-Approval-Prediction,Loan Prediction AI
https://github.com/Nelsonlin0321/ml-bst-movielens1m-recommender-serving,MovieMatch AI
https://github.com/khushal2911/mlops-zoomcamp/tree/main/07-project,Unknown
https://github.com/anammari/mlops-zoomcamp-project-2023,DC Taxi Cost Prediction
https://github.com/celik-muhammed/MLOps-Zoomcamp-Module-7-Project-2-Citi-Bike-Ride-Duration-Prediction,Citi Bike Ride Prediction
https://github.com/BoKatanKrize/kickstarter-mlops,Kickstart Success Prediction
https://github.com/FaresAmiar/mlops-zoomcamp-project,MLOps for Airbnb Pricing
https://github.com/GiTilemac/mlops-project,Pancreatic Cancer
https://github.com/directdetour/MLOps-Project,ML Regression Operations
https://github.com/marcosppaiva/mlops-final-project,Unknown
https://github.com/benjpacheco/loan-data-project,Default Prediction Optimization
https://github.com/ynusinovich/mlops-zoomcamp-dtc/tree/main/project,Water Quality Predictions
https://github.com/KaleShreyas/turbo-fiesta,Renewable Energy Predict
https://github.com/ugm2/email-discriminator,Email Relevance Discriminator
https://github.com/louis-reinaldo/mlopsproject_eth_prediction/blob/main/07-project/,Unknown
https://github.com/inrsta/spotify-prediction-api,Spotify Popularity Prediction
https://github.com/edcalderin/StudentDropout-Prediction-Mlops/changes,Unknown
https://github.com/henrikerola/mlops-zoomcamp-project,Diabetes Prediction Deployment
https://github.com/slchangtw/imdb_sentiment_analysis_mlops,Sentiment Analysis Pipeline
https://github.com/sl2902/credit_churn_prediction,Credit Churn Prediction
https://github.com/arybach/mlops-infra.git,AWS Metaflow Deployment Configuration
https://github.com/quinnavila/tricorderai,Health Tech Innovations
https://github.com/lerummi/accident-severity-forecast,Accident Severity Forecasting
https://github.com/zabull1/mlops_churn_project,Churn Prediction Solution
https://github.com/shayannejadshamsi/mlops_zoomcamp_final_project,Bank Churn Prediction
https://github.com/Chalermdej-l/Mlop_Project,Deposit Subscription Prediction
https://github.com/dimzachar/xGoals-mlops,Scalable xG
https://github.com/padmapria/customerchurn_prediction_mlops_project/tree/master,Unknown
https://github.com/bbilmez/MLOps_final_project.git,HeartRisk Prediction
https://github.com/ranga4all1/stack-overflow-2023,Salary Prediction: Developer Compensation
https://github.com/silvanmurre/electricity-demand-fc,Electricity Demand Forecasting
https://github.com/JVAparicio/MLOps_Zoomcamp_Final_Project,Spam Classification System
https://github.com/AhmedFahim-git/diabetes_prediction,Diabetes Mort
https://github.com/fitpred/mlops-zcamp-project,Used Car Price Estimator
https://github.com/atharvakavitkar/mlops-project,Streamlined MLOps
https://github.com/fluentnumbers/portfolio_mlops,Truth Detector AI
https://github.com/moubashsir/mlops-project,Bike Booking Prediction
https://github.com/aaalexlit/capitalbikeshare-mlops,ML Bike Prediction
https://github.com/tarasenya/mlopszoomcamp_final_project,Heart Stroke Prediction
https://github.com/lucapug/e2e-bike-count-predictor,Bike Count Prediction
https://github.com/daniel-gheorghita/MLOps_car_price_prediction/tree/master,Unknown
https://github.com/arundac23/MLOPS-zoomcamp-2023-project/tree/master,Unknown
https://github.com/ayeffkay/mlops_zoomcamp_project,Music Genre Classification
https://github.com/kkruglik/mlops-zoomcamp-project,Churn Prediction App
https://github.com/AbdallaAbker/mlops.git,Traffic Volume Prediction
https://github.com/Ilnaz77/mlops_project,Customer Sentiment Classification
https://github.com/albwrekt/mlops_zoomcamp_final_project,Optimizing Bike Rentals
https://github.com/idh71/mlops-project/tree/working,Unknown
https://github.com/tunahankilic/NBAGamePrediction,NBA Game Predictions
https://github.com/ChungWasawat/dtc_mlops_project,Driving Coupon Prediction
https://github.com/TimBeckerAachen/predict-stocks,Stock Prediction Deployment
https://github.com/sarthz/mlops-zoomcamp,Unknown
https://github.com/Sebasfac/mlops_zoomcamp_project_car_price_prediction,Car Price Prediction
https://github.com/venky-lucky/MLOPS_ZoomCamp/tree/main/MLOPS_final_project,Stock Forecasting AI
https://github.com/peterernicke/MLOps_Zoomcamp_2023_Project.git,Predicting Housing Prices
