project_url,project_title,Deployment Type,Reason
https://github.com/Alvaro-Kothe/MLOps-Zoomcamp-Project,Mushroom Edibility Predictor,Web Service,fastapi
https://github.com/abdala9512/mlops-zoomcamp-project-2023,Churn Risk Prediction,Batch,batch
https://github.com/rishikeshF/old_car_price_prediction_mlops,Car Price Predictor Implementation,Web Service,flask
https://github.com/GattigorlaShivani/MLOPS_ZOOMCAMP.git,Unknown,Unknown,
https://github.com/Mani1213/MLOps_Zoomcamp.git,Insufficient Information Available,Unknown,
https://github.com/Blaqadonis/human_action_recognition_app,Human Activity Classifier,Batch,batch
https://github.com/jblanco89/MLOps_zoomcamp_course,Stock Price Predictor,Batch,batch
https://github.com/yshen92/mlops-capstone-project,Spam Detector Pipeline,Batch,batch
https://github.com/rehamessameltagoury/Loan-Approval-Prediction/,Loan Approval Prediction,Unknown,
https://github.com/Elsayed91/taxi-data-pipeline,Scalable Data Pipeline Solution,Batch,batch
https://github.com/KonuTech/mlops-zoomcamp-project,Used Car Price Prediction,Batch,batch
https://github.com/Shubh18s/mlops-zoomcamp-2023-project,Citibike Ride Duration Prediction,Batch,batch
https://github.com/benitomartin/mlops-car-prices,Car Price Predictor,Web Service,flask
https://github.com/HCA97/LOL-Match-Outcome,Match Predictor Tool,Unknown,
https://github.com/EugenePog/car-price-evaluation,Car Price Evaluator,Unknown,
https://github.com/sheperd007/MLOps-Zoomcamp-Course/tree/main/07-projects/1,COVID Detection with Deep Learning,Unknown,
https://github.com/albwrekt/mlops_zoomcamp_final_project/tree/main,Unknown,Unknown,
https://github.com/JlnLNT/mlops-project,Renewable Energy Prediction,Unknown,
https://github.com/yegireddihemanth/MLOpps-Zoomcamp.git,Zoomcamp Machine Learning,Unknown,
https://github.com/carrionalfredo/Pistachio-Classifier,Pistachio Type Identifier,Web Service,flask
https://github.com/edcalderin/student-dropout-prediction-mlops,Dropout Prediction Tool,Streaming,stream
https://github.com/mosesdaudu001/project-mlops-zoomcamp,Satellite-based Air Quality Prediction,Unknown,
https://github.com/martinnnuez/Energy_Efficiency,Building Heat Load Prediction,Web Service,web service
https://github.com/venky-lucky/MLOPS_ZoomCamp/tree/main/git_project,Unknown,Unknown,
https://github.com/samlafell/mlops_zoomcamp_sam/tree/master/07-project,Wine Quality Predictor,Unknown,
https://github.com/fandemisterling100/mlops-final-project,Money Laundering Detection AI,Web Service,flask
https://github.com/ioannismesionis/mlops-zoomcamp-assignment,Car Price Prediction,Unknown,
https://github.com/iamzeynepcetin/mlops_project,Diabetes Prediction Pipeline,Web Service,flask
https://github.com/bsenst/mlops/tree/main/experiments/health-pipeline,Cardiac Screening with ML,Unknown,
https://github.com/BuzzKanga/Project-XGBoost-MLOps,Churn Prediction Pipeline,Unknown,
https://github.com/Tobi-Ade/mlops_customer_churn_prediction,Bank Churn Prediction,Web Service,flask
https://github.com/RoberVega/Showcase,Virtual Environment Workflow,Web Service,flask
https://github.com/Irf4n-Muhammad/MLOPS-Project-Youtube-Trending/blob/main/README.md,Unknown,Unknown,
https://github.com/kawczy83/2023_MLOps_Final_Project/,Creditworthiness Prediction Zoomcamp,Web Service,flask
https://github.com/chintalapudipraneeth/MlOpsZoomCamp/tree/main,Unknown,Unknown,
