,,,,
1,reviewer_hash,project_hash,commit,project_url
,,,,
2,0c484843f3f704705a55497c31a0e74c3d3079b5,ef09dcb6488a5f37fa732e9acd0deb5e2b922c36,9086da6,https://github.com/Alvaro-Kothe/MLOps-Zoomcamp-Project
3,0c484843f3f704705a55497c31a0e74c3d3079b5,986d4970ef1522f2c7868dd05ad3233343b4e0b9,66c497e,https://github.com/abdala9512/mlops-zoomcamp-project-2023
4,0c484843f3f704705a55497c31a0e74c3d3079b5,ac90ac98807e42b843da6092b0f37090a51e81aa,9fd02a6,https://github.com/rishikeshF/old_car_price_prediction_mlops
5,abf1d116c9ea261642f4cfcaaf3665f0405d61ea,8f7803c2429475be44bf39e5f3b89b6fede17240,4106123,https://github.com/GattigorlaShivani/MLOPS_ZOOMCAMP.git
6,abf1d116c9ea261642f4cfcaaf3665f0405d61ea,94c2eee7b8c4c8f1a7990fd68cea4db19e4a2d5c,de91c28,https://github.com/Mani1213/MLOps_Zoomcamp.git
7,abf1d116c9ea261642f4cfcaaf3665f0405d61ea,a32a70964836b3563b0612e746fb63ac03f693f9,4aa7e35,https://github.com/Blaqadonis/human_action_recognition_app
8,0e578c9bbfeb4b39d7406353c90a400fe6ff0e37,a68a3345d02a669d54865816f39ed1b07ca7812c,049669e,https://github.com/jblanco89/MLOps_zoomcamp_course
9,0e578c9bbfeb4b39d7406353c90a400fe6ff0e37,e7742888783b7577ee7657bf162a63b1bdf2d727,26da262,https://github.com/yshen92/mlops-capstone-project
10,0e578c9bbfeb4b39d7406353c90a400fe6ff0e37,8f7803c2429475be44bf39e5f3b89b6fede17240,4106123,https://github.com/GattigorlaShivani/MLOPS_ZOOMCAMP.git
11,2823d69ca2f12f24aaba46d6aaa1798184f1c932,22f2de366eed41ea1a4f93b5a364bbbbbffbae4f,03eaeea,https://github.com/rehamessameltagoury/Loan-Approval-Prediction/
12,2823d69ca2f12f24aaba46d6aaa1798184f1c932,e219c827723c25860e0811c0213cbe7d285d4e2a,b14d09e,https://github.com/Elsayed91/taxi-data-pipeline
13,2823d69ca2f12f24aaba46d6aaa1798184f1c932,f1f3db87bfb85c5501168fe9b12aae3ef8968e57,773e873,https://github.com/KonuTech/mlops-zoomcamp-project
14,94c2eee7b8c4c8f1a7990fd68cea4db19e4a2d5c,5e8cf86af414e509d911d640f6cd36e84fcc3088,cf2543f,https://github.com/Shubh18s/mlops-zoomcamp-2023-project
15,94c2eee7b8c4c8f1a7990fd68cea4db19e4a2d5c,c6a3882c69c42dd40615870cc4524a405c19f775,e0d398a,https://github.com/benitomartin/mlops-car-prices
16,94c2eee7b8c4c8f1a7990fd68cea4db19e4a2d5c,16ab24c6ad9344169f9ae1ab8a874ce84722194a,3223c1b,https://github.com/HCA97/LOL-Match-Outcome
17,665cb5f846660c4b64d117b29aaf7a2e0e0c5293,f6b0d35d7ff5e162418f4275299b9c95cd40a4b9,89d6ca2,https://github.com/EugenePog/car-price-evaluation
18,665cb5f846660c4b64d117b29aaf7a2e0e0c5293,abf1d116c9ea261642f4cfcaaf3665f0405d61ea,cf9082d,https://github.com/sheperd007/MLOps-Zoomcamp-Course/tree/main/07-projects/1
19,665cb5f846660c4b64d117b29aaf7a2e0e0c5293,5e8cf86af414e509d911d640f6cd36e84fcc3088,cf2543f,https://github.com/Shubh18s/mlops-zoomcamp-2023-project
20,16ab24c6ad9344169f9ae1ab8a874ce84722194a,e219c827723c25860e0811c0213cbe7d285d4e2a,b14d09e,https://github.com/Elsayed91/taxi-data-pipeline
21,16ab24c6ad9344169f9ae1ab8a874ce84722194a,95464a5ffc167360ef5194917557b07e660a1dd3,b33e3cf,https://github.com/albwrekt/mlops_zoomcamp_final_project/tree/main
22,16ab24c6ad9344169f9ae1ab8a874ce84722194a,0c484843f3f704705a55497c31a0e74c3d3079b5,22a2083,https://github.com/JlnLNT/mlops-project
23,a68a3345d02a669d54865816f39ed1b07ca7812c,ac90ac98807e42b843da6092b0f37090a51e81aa,9fd02a6,https://github.com/rishikeshF/old_car_price_prediction_mlops
