project_url,project_title,Deployment Type,Reason
https://github.com/GermanoC0/course-ml-zoomcamp/tree/main/3rdProject,Garbage Classification AI,Unknown,
https://github.com/sleepypioneer/coffee-leaf-rust-predictor,Rust Prediction AI,Unknown,
https://github.com/snikhil17/Customer_Shopping_Intention,Customer Purchase Prediction,Web Service,flask
https://github.com/RickyMcMaster/pub_portfolio/tree/main/mlz/11-final-project,House Price Prediction,Unknown,
https://GitHub.com/CMH-DS4A/ml_zoomcamp/tree/main/final_project,Wine Quality Prediction,Unknown,
https://github.com/ashok-arora/heart-attack-predictor,Heart Attack Prediction,Web Service,flask
https://github.com/anuj0721/mba_placement_prediction,Placement Predictions Made Easy,Unknown,
https://github.com/carlos9917/ml_project2,Greenland Wind Forecast,Web Service,flask
https://github.com/mikeonak/bankruptcy,Polish Company Bankruptcy,Web Service,flask
https://github.com/Arvind644/water-quality-prediction-project,Safe Water Prediction,Unknown,
https://github.com/MSadriAghdam/Uber_Fare_Pricing,Uber Fare Prediction,Web Service,web service
https://github.com/kallelay/MLZoomCampThirdProject,Automated Machine Failure Prediction,Web Service,flask
https://github.com/MMdeCastro/ml-zoomcamp/tree/main/S14_Third_Project,Heart Risk Prediction,Unknown,
https://github.com/robmoore/zoomcamp-ts-project,Stock Prediction Accuracy,Web Service,flask
https://github.com/sergelawson/MLZOOMCAMPP,Unknown,Unknown,
https://github.com/bizancio3/ml-zoomcamp/tree/main/12-capstone-project,Real-time Fire Alerts,Unknown,
https://github.com/kristiaan67/ml-zoomcamp/tree/master/capstone-project,Pet Sound Classification,Unknown,
https://github.com/robmoore/zoomcamp-capstone-project,Ames House Price Prediction,Web Service,flask
https://github.com/xettrisomeman/capstoneproject,Deposit Subscription Prediction,Unknown,
https://github.com/dataminding/ml-zoomcamp/tree/main/capstone-project,Job Posting Classification,Unknown,
https://github.com/valeriich/capstone-project,Tomato Cultivar Classification,Unknown,
https://github.com/hamedkharazmi/MLProject-Bank-Marketing-System,Deposit Subscription Prediction,Web Service,flask
https://github.com/madityarafip/My-Machine-Learning/tree/main/ML-Zoomcamp/Capstone-Project-Week-12,Rain Prediction in Australia,Unknown,
https://github.com/shaolang/ml-zoomcamp/tree/main/capstone-project,Facial Expression Classification,Unknown,
https://github.com/amruta95/MLZoomCamp_Capstone_Project,Heart Mortality Prediction,Web Service,web service
https://github.com/jaindamini1111/ML-DT-Course-Files/tree/main/Capstone%20Project,Firewall Web Prediction,Unknown,
https://github.com/arpitchittora/arpit-ml-zzomcamp-v2/tree/master/capstone-project,Food Image Recipe App,Unknown,
https://github.com/gialkady/Capstone-Project,Food Image Restaurant Finder,Web Service,web service
https://github.com/Arvind644/Capstone-project,House Price Prediction,Unknown,
https://github.com/NielKemp/mlzoomcamp/tree/main/capstone,Unknown,Unknown,
https://github.com/milliewhite/ML-Zoomcamp-Project2,Diabetes Prediction Model,Web Service,flask
https://github.com/ne1r0n/ml-zoomcamp-capstone-project,Ames Home Price Prediction,Web Service,gunicorn
https://github.com/sayalaruano/CapstoneProject-MLZoomCamp,AMP Activity Prediction,Web Service,flask
https://github.com/kallelay/MLZoomCampCapstoneProject,Price Prediction Algorithm,Web Service,flask
https://github.com/sekar-p/ml_course/tree/main/Capstone_Project,Predicting Laptop Prices,Unknown,
https://github.com/KursadE/zoomcamp-HW10,Animal Classification System,Unknown,
https://github.com/YasharDS/AI-Safety-Officer-DNN-Helmet-Detector,Unknown,Unknown,
https://github.com/HSubbu/flower_classification_project.git,Flower Classification AI,Web Service,web service
