,,,
1,reviewer_hash,project_hash,project_url
,,,
2,4aa5b8c18b09ea586ee1bef40ba8aacc2bfd5c09,061db7ee3baa2d702f07915522c046fbde7e8d91,https://github.com/jorguerrari/Midterm_Project
3,4aa5b8c18b09ea586ee1bef40ba8aacc2bfd5c09,bce52f991720cc2120f6699fd718220bbe61c1fb,https://github.com/lagvier/datahack_homeworks/tree/master/movieAnalysis
4,4aa5b8c18b09ea586ee1bef40ba8aacc2bfd5c09,fd199e37057dd837506c98e8ae7690303aa1212c,https://github.com/AliAmini7/ml-zoom/tree/main/project%201
5,a4568919622adb211e2285604afc4bde857c0f8c,029adc58e589bae653694416b7dc1661f5630d80,https://github.com/mikeonak/bank_deposits
6,a4568919622adb211e2285604afc4bde857c0f8c,d845b802a1f7abe8fedb7aeaed75ba1d1c8bad8e,https://github.com/roberttflash/ml-zoomcamp/tree/main/MIDTERM_PROJECT_20211023
7,a4568919622adb211e2285604afc4bde857c0f8c,b0d151a13808818ca752ddf5cd57a09d2ced46e9,https://github.com/kwangyy/midterm-project
8,d72724fa78cf41dd26a2d95a5c468e54425667b1,dc44750caebc5f971a91111aacac39e8a12f1376,https://github.com/JMiguelFernandes/ml_zoomcamp_midterm
9,d72724fa78cf41dd26a2d95a5c468e54425667b1,7ca848937cdd518db07ebc5c1462374f124f4964,https://github.com/MSadriAghdam/ML-Zommcamp/tree/main/homework%2007
10,d72724fa78cf41dd26a2d95a5c468e54425667b1,7151baf43c22c2c8216f60d3199fa1c199fdc58b,https://github.com/asarzina/mlbookcamp-homework/tree/main/income-prediction
11,9c7f31eb19bf3cca2704d34bfe49a1a2b93c9520,749e022a942176fdc812acbb93de976ed535cc92,https://github.com/sukritishuk/ML_ZoomCamp_Midterm_Project
12,9c7f31eb19bf3cca2704d34bfe49a1a2b93c9520,3e25ebbf825be8f18b867476e24cb179040bbeed,https://github.com/geoffrey-eisenbarth/ml-course/blob/master/hw/midterm/README.md
13,9c7f31eb19bf3cca2704d34bfe49a1a2b93c9520,ec88c486fb4ea97dbe1971229e5fdf14fb643f66,https://github.com/sekar-p/ml_course/tree/main/Midterm_project
14,d3e2b608763988debc1cf9e776fa40f1ea8f7c24,316e63eafb5e77b8fdb2e7486e4c4550799e71c4,https://github.com/maltsevoff/mlzoomcamp-midterm-project
15,d3e2b608763988debc1cf9e776fa40f1ea8f7c24,02efc3152829184cf29c22c2fd531333f8e77449,https://github.com/syntactic/mlbookcamp-code/tree/master/course-zoomcamp/07-midterm-project/midterm
16,d3e2b608763988debc1cf9e776fa40f1ea8f7c24,029adc58e589bae653694416b7dc1661f5630d80,https://github.com/mikeonak/bank_deposits
17,3912d286864920cdce77d6b201779cb480aab2f4,db8dec0f84319f139f6e7924d0a3bc1b63eec7af,https://github.com/JonathanLoscalzo/ml-zoomcamp-2021/tree/main/midterm%20project
18,3912d286864920cdce77d6b201779cb480aab2f4,51b9943bf98b704dc9b609ccbdc34bce3e1205db,https://github.com/imam-db/ML-ZoomCamp/tree/master/Midterm
19,3912d286864920cdce77d6b201779cb480aab2f4,ab2026a86606ea2692449872b66396da0522f844,https://github.com/krother/bookcamp_homework/tree/main/week7-midterm
20,055e54e1b6a693f2673e28abf7c4986d13203e90,9c7f31eb19bf3cca2704d34bfe49a1a2b93c9520,https://github.com/NielKemp/mlzoomcamp/tree/main/MidTerms
21,055e54e1b6a693f2673e28abf7c4986d13203e90,b820d1f1d20940127453773042925904a84f3a40,https://github.com/aenoboa1/Project_MlZoomcamp
22,055e54e1b6a693f2673e28abf7c4986d13203e90,af475e51d30b3243e87855c93dd16c542400664b,https://github.com/BountyHunter1999/Machine-Learning-Zoom-Camp/tree/main/Homeworks/Capstone%20Project
23,1e29ca0c0ab5a0fd00475fd871b394a679cf4a6f,818533fd9d46a5d386a408e876837487345d0f3b,https://github.com/ceccode/income-prediction
24,1e29ca0c0ab5a0fd00475fd871b394a679cf4a6f,d8c70b9b665ade310c794b74c34ed6c21b6c6c6d,https://github.com/ZachJon1/Mid-Term-Project
25,1e29ca0c0ab5a0fd00475fd871b394a679cf4a6f,a302f904d1b0e4b61c4be380ab6343eef8407301,https://github.com/amindadgar/MLZoomcamp-MidTerm-Project
26,b0d151a13808818ca752ddf5cd57a09d2ced46e9,2e4895d02b0c2bf59f062ae45b2642156e49a5e5,https://github.com/sleepypioneer/coffee-quality
27,b0d151a13808818ca752ddf5cd57a09d2ced46e9,4aa5b8c18b09ea586ee1bef40ba8aacc2bfd5c09,https://github.com/YasharDS/Hydrocarbon-Flow-Prediction-Model
28,b0d151a13808818ca752ddf5cd57a09d2ced46e9,c40ea4dc2dfe718c5aaf8e8a5136a82e31d9bc57,https://github.com/milliewhite/ML-ZoomCamp-Project-1
29,8b345282c567fd035111314a2678945ef49a165d,b6c3f46aa9cb941fb5145c91b788ae762ca84f26,https://github.com/turansaray/Spain-Electricity-Price-Prediction
30,8b345282c567fd035111314a2678945ef49a165d,547421071581d5f5954d7f5052332a85badc17e7,https://github.com/AudryBarimbane/Mid-term_project
31,8b345282c567fd035111314a2678945ef49a165d,d845b802a1f7abe8fedb7aeaed75ba1d1c8bad8e,https://github.com/roberttflash/ml-zoomcamp/tree/main/MIDTERM_PROJECT_20211023
32,50a288a5d47b5a302491450fb09d389cdefadb93,af475e51d30b3243e87855c93dd16c542400664b,https://github.com/BountyHunter1999/Machine-Learning-Zoom-Camp/tree/main/Homeworks/Capstone%20Project
33,50a288a5d47b5a302491450fb09d389cdefadb93,35a89bd1cf9dc20f4a30d70cadf18c60942dfaff,https://github.com/razorcd/ml-training/tree/main/project1
34,50a288a5d47b5a302491450fb09d389cdefadb93,41942b416f1d862dda0e8f82bbee960551638801,https://github.com/mkleshchenok/mlbookcamp-code/tree/master/course-zoomcamp/midterm
35,2e123d20b1642ed145411d8eb5572aac6811c0d1,5acb4aea40804805c77bec16d60815f590aa7634,https://github.com/carlos9917/ml_project1
36,2e123d20b1642ed145411d8eb5572aac6811c0d1,97471157d5ab17ad2c09d22fc08a31023250d50e,https://github.com/anuj0721/DataClub-ZoomCamp/tree/main/Zoomcamp%20Project
37,2e123d20b1642ed145411d8eb5572aac6811c0d1,9c7f31eb19bf3cca2704d34bfe49a1a2b93c9520,https://github.com/NielKemp/mlzoomcamp/tree/main/MidTerms
38,51b9943bf98b704dc9b609ccbdc34bce3e1205db,d72724fa78cf41dd26a2d95a5c468e54425667b1,https://github.com/adlirahadyan/Midterm_Project-MLZoomcamp-
39,51b9943bf98b704dc9b609ccbdc34bce3e1205db,d3e2b608763988debc1cf9e776fa40f1ea8f7c24,https://github.com/SleeplessChallenger/Tokyo_Real_Estate_WebApp.git
40,51b9943bf98b704dc9b609ccbdc34bce3e1205db,9cc596e090235624e86ee5a3419a3361069d5aa8,https://github.com/YuliaS/MLZ_HW/tree/main/HW_06
41,1122de78f59571f01a49fe5c5b6c81aa87418301,81bfcb7b46e992d02b12d36d109501f98995882d,https://github.com/gialkady/ml_zoomcamp/tree/Homeworks/Midterm%20Project
42,1122de78f59571f01a49fe5c5b6c81aa87418301,d72724fa78cf41dd26a2d95a5c468e54425667b1,https://github.com/adlirahadyan/Midterm_Project-MLZoomcamp-
43,1122de78f59571f01a49fe5c5b6c81aa87418301,1c9dd8455d470a4ff9fcd6a54d7c690d3e2e13ab,https://github.com/Nikhil14091997/ML-ZoomCamp/tree/main/Week%20-%207/Bank%20Marketing
44,5acb4aea40804805c77bec16d60815f590aa7634,fd796f5962ede2b2107b1a01b6632cb805acf890,https://github.com/LeilaRanjbar82/ML-zoomcamp-course-homework/tree/main/MidtermProject
45,5acb4aea40804805c77bec16d60815f590aa7634,dc44750caebc5f971a91111aacac39e8a12f1376,https://github.com/JMiguelFernandes/ml_zoomcamp_midterm
46,5acb4aea40804805c77bec16d60815f590aa7634,feb5c4684edeeb57e0e4e7ea73f3a5ac44039da8,https://github.com/mayan1257/Midterm-Project
47,7ca848937cdd518db07ebc5c1462374f124f4964,2dbe7972ee4a8139de8bda124fdfde718930669a,https://github.com/nindate/mlzoomcamp-midterm-project/
48,7ca848937cdd518db07ebc5c1462374f124f4964,055e54e1b6a693f2673e28abf7c4986d13203e90,https://github.com/aljeks/air-quality-and-asthma
49,7ca848937cdd518db07ebc5c1462374f124f4964,dc0d3ec9d5383b0f7ce460d13ed0d31eab59300d,https://github.com/ksomf/workbook/tree/main/alexeygrigorev_zoomcamp/week07_project
50,55db1d107c8df7265c404e877d313cab319db5cc,64bf2fe8dfa19d1eae1ea225515ac50ddf369a08,https://github.com/Patoo84/Mlmidtermproject
51,55db1d107c8df7265c404e877d313cab319db5cc,af475e51d30b3243e87855c93dd16c542400664b,https://github.com/BountyHunter1999/Machine-Learning-Zoom-Camp/tree/main/Homeworks/Capstone%20Project
52,55db1d107c8df7265c404e877d313cab319db5cc,2c03147686d3670e5a5769514edb070ce0d11bca,https://github.com/Valkea/ML_Wine
53,061db7ee3baa2d702f07915522c046fbde7e8d91,bce52f991720cc2120f6699fd718220bbe61c1fb,https://github.com/lagvier/datahack_homeworks/tree/master/movieAnalysis
54,061db7ee3baa2d702f07915522c046fbde7e8d91,e13d16d98501bc54189d8ceead846443291e4f6b,https://github.com/irfanim/ML_ZoomCamp
55,061db7ee3baa2d702f07915522c046fbde7e8d91,bcac484e2c5e81c159c1fac2ef0174a3522999ad,https://github.com/KDL/ML-Zoomcamp/tree/main/Midterm Project
56,66865c59d6a973b23c8606e8461ff869346e609a,995fd5ad7fdaffa6df9b963d1637c956e456a275,https://github.com/dataminding/ml-zoomcamp/tree/main/midterm-project
57,66865c59d6a973b23c8606e8461ff869346e609a,e1bd193a7ac2fca19a61c98e65ba80c14c1b8be2,https://github.com/sergelawson/ML_ZOOM_CAMP_EXERCISE/tree/master/MidTermProject
58,66865c59d6a973b23c8606e8461ff869346e609a,f8755a049ed6e027dced51eb150fbba89864f7d4,https://github.com/lkirch/ml-zoomcamp/tree/main/midterm
59,187b6c99d07fcb6a52ae546fb20d8dc6fb2856e8,a328189bab9488e7e41608a156e205cec4904600,https://github.com/shaolang/ml-zoomcamp/tree/main/mid-term-project
60,187b6c99d07fcb6a52ae546fb20d8dc6fb2856e8,ab5250708f0086469885bac1f77602c00d955fa8,https://github.com/Twixii99/Weather-prediction
61,187b6c99d07fcb6a52ae546fb20d8dc6fb2856e8,20077abaff4c1d5cd8aaa3c7aef301247bf4906d,https://github.com/sayalaruano/MidtermProject-MLZoomCamp
62,ee2aa37509fdd640356608808ea405df5d2eac65,97471157d5ab17ad2c09d22fc08a31023250d50e,https://github.com/anuj0721/DataClub-ZoomCamp/tree/main/Zoomcamp%20Project
63,ee2aa37509fdd640356608808ea405df5d2eac65,3912d286864920cdce77d6b201779cb480aab2f4,https://github.com/HSubbu/ML_Zoomcamp_project1_1.git
64,ee2aa37509fdd640356608808ea405df5d2eac65,3e25ebbf825be8f18b867476e24cb179040bbeed,https://github.com/geoffrey-eisenbarth/ml-course/blob/master/hw/midterm/README.md
65,d75d06a9ec2ba84d5d4108c228049b3bbd40a538,add0f0c409f243f3914a25360be125cda740ddd8,https://github.com/yadwink/ML-zoomcamp-homework/tree/Mid-Term-Project
66,d75d06a9ec2ba84d5d4108c228049b3bbd40a538,a8fe6970d79d6d465247ae3d6cda56b55f143604,https://www.kaggle.com/aasthaasati/midterm-project
67,d75d06a9ec2ba84d5d4108c228049b3bbd40a538,5acb4aea40804805c77bec16d60815f590aa7634,https://github.com/carlos9917/ml_project1
68,ae7465ae88f87565a10d0f92f92b65550b132ffe,e4a282569a497cfa0729e7881fc5209882e0d35b,https://github.com/Phunbie/midterm_prog1
69,ae7465ae88f87565a10d0f92f92b65550b132ffe,fd796f5962ede2b2107b1a01b6632cb805acf890,https://github.com/LeilaRanjbar82/ML-zoomcamp-course-homework/tree/main/MidtermProject
70,ae7465ae88f87565a10d0f92f92b65550b132ffe,bcdabdd6ab1aa99f1d7b0840d5f3eedfdd73e509,https://github.com/ada-nai/ag-mlcamp/tree/master/midterm-project
71,f255bd03008428c7155d785ca3018797b8797764,a2aec25beb5a80a6d4446592115c72ae6cffbc02,https://github.com/TimBeckerAachen/zoomcap/tree/main/midterm_project
72,f255bd03008428c7155d785ca3018797b8797764,ae7465ae88f87565a10d0f92f92b65550b132ffe,https://github.com/lluo02/Zoomcamp/tree/main/Midterm%20Project
73,f255bd03008428c7155d785ca3018797b8797764,ffa48d85d2e10987d6a813b3fc38a6762f1cc6db,https://github.com/banypakha/ml_zoomcamp/tree/main/midterm_project
74,fccd5d19fa48b8dd664b333ac9450e88b4c77917,f251db7236d9fd8a54a732d2870716d46eafb8d4,https://github.com/bizancio3/ml-zoomcamp/tree/main/07-midterm-project
75,fccd5d19fa48b8dd664b333ac9450e88b4c77917,bcdabdd6ab1aa99f1d7b0840d5f3eedfdd73e509,https://github.com/ada-nai/ag-mlcamp/tree/master/midterm-project
76,fccd5d19fa48b8dd664b333ac9450e88b4c77917,a86e7e153c102f6b811706a3b01d18720e24b93f,https://github.com/Sylvesterchuks/Term_Deposit_Subscription
77,56b541d1d3401c840265a5d11388ff89fed93472,a302f904d1b0e4b61c4be380ab6343eef8407301,https://github.com/amindadgar/MLZoomcamp-MidTerm-Project
78,56b541d1d3401c840265a5d11388ff89fed93472,9dc117901825bc609c476624bec7e77ee64160fd,https://github.com/leopardilla/mlbookcamp-code/tree/master/course-zoomcamp/midterm-project
