project_url,project_title,Deployment Type,Reason,Cloud
https://github.com/dajebbar/mlzoomcamp-capstone2,Movie Review Sentiment Analysis,Unknown,Unknown,Unknown
https://github.com/ngalkov/mlzoomcamp_capstone,Ore Impurity Prediction,Web Service,web service,Yandex Cloud
https://github.com/gabrielorce/mlbookcamp2022-capstone2,Electronic Component Prediction,Unknown,Unknown,AWS
https://github.com/ElenaNKn/ml-zoomcamp-solutions/tree/master/third_final_project,Steel Property Prediction,Web Service,web service,GCP
https://github.com/alejomaar/google-arts-and-culture,Art Color Classification,Web Service,fastapi,AWS
https://github.com/praveenbalijepalli/mlzoomcamp-capstone-project1,Vertebrae Fract,Batch,batch,AWS
https://github.com/rizdiaprilian/MLZoomcamp_2022/tree/master/Project_2,Unknown,Unknown,Unknown,AWS
https://github.com/darkcorpd/ml-zoomcamp/tree/main/kitchenware-classification,Kitchenware Classification Success,Web Service,gunicorn,Unknown
https://github.com/angelineolapa/New_Exporter_Success,Export Success Prediction,Web Service,flask,Unknown
https://github.com/JustBearMe/datatalksclub_mlzc_capstone2,Trash Tank Prediction,Unknown,Unknown,Unknown
https://github.com/yegireddihemanth/MLZoomcamp2022.git,Unknown,Unknown,Unknown,Unknown
https://github.com/danannisar/flower_classification,Flower Image Classification,Unknown,Unknown,AWS
https://github.com/moro23/dl_Maize_Disease_Classification,Early Disease Prediction,Unknown,Unknown,Unknown
https://github.com/dheerajkarra/ML_Engineering/tree/main/Capstone_Project,Wine Classification Deployment,Web Service,flask,Unknown
https://github.com/xtbtds/brain_tumor_classification_mlzoomcamp,Brain Tumor Classification,Web Service,fastapi,AWS
https://github.com/adamorad/capstoneprojectml,Titanic Survival Prediction,Web Service,bentoml,AWS
https://github.com/K0nkere/dice-detection-project.git,Dice Summarizing Bot,Web Service,flask,Yandex Cloud
https://github.com/JesusAcuna/Kitchenware_classification,Kitchenware Classification Network,Web Service,flask,GCP
https://github.com/suri976/capstone2.git,Unknown,Unknown,Unknown,Unknown
https://github.com/nirmadevi7/zoomcamp_homework/tree/main/Capestone_Project2,Unknown,Web Service,bentoml,AWS
https://github.com/vermadev54/mlzoomcamp_2022/tree/main/CapstoneProject2,Unknown,Web Service,bentoml,AWS
https://github.com/EdidiongEsu/mlzoomcamp_capstone_one,Car Classification App,Unknown,Unknown,Unknown
https://github.com/MuhammadAwon/wildfire-classification,Wildfire Image Classification,Unknown,Unknown,AWS
https://github.com/msinha251/mlzoomcamp-2022-capstone-project-2,Kitchenware Image Classification,Unknown,Unknown,Unknown
https://github.com/ptrisha/ml-capstone2,Scenery Classification: Mobile,Unknown,Unknown,AWS
https://github.com/Kibzik/kitchenware-classification_cv,Kitchenware Image Classification,Web Service,flask,Unknown
https://github.com/illyge/counter-ai,GPT-3 Identification API,Web Service,bentoml,AWS
https://github.com/yadwink/Machine-Learning/tree/main/CapStone%20project,Unknown,Web Service,flask,Unknown
https://github.com/Sivapriyapj/pneumonia_detection.git,Unknown,Unknown,Unknown,Unknown
https://github.com/AaishaMuhammad/mlzoomcamp_capstone2,Landscapes Classification Model,Web Service,flask,GCP
https://github.com/rahmatmamat1/unet_lung_segmentation,Automated Lung Segmentation,Web Service,flask,Unknown
https://github.com/bsenst/capstone2-predict-service-utilisation,Service Demand Prediction,Web Service,bentoml,Unknown
https://github.com/segobee/Kitchenware_Classification,Kitchenware Identifier,Unknown,Unknown,Unknown
https://github.com/venky-lucky/Zoomcamp_Homework/tree/main/capstone2,Kitchenware Categorizer,Web Service,fastapi,Unknown
https://github.com/Tobi-Ade/Credit-Card-Offer-Acceptance,Credit Offer Acceptance,Web Service,flask,Unknown
https://github.com/AEBU/mlzoomcamp/tree/main/capstone-project2,Equipment Request Forecaster,Web Service,gunicorn,Unknown
https://github.com/SimonIlishaev/ml-zoomcamp-hw/tree/master/scoring,Scoring Service Deployment,Web Service,bentoml,Unknown
https://github.com/GattigorlaShivani/MLZoomCamp.git,Master ML Fundamentals,Unknown,Unknown,Unknown
https://github.com/Danselem/gender_determination,Eye Gender Prediction,Unknown,Unknown,AWS
https://github.com/Mani1213/ML_ZoomCamp_2022.git,"I'm sorry, without any",Unknown,Unknown,Unknown
https://github.com/DonAvery/health-insurance-cross-sell-prediction,Marketing Campaign Prediction,Web Service,bentoml,Unknown
https://github.com/ranga4all1/pneumonia-classification,Xception Diagnoses,Unknown,Unknown,Unknown
https://github.com/jiujitsa/turnover_prediction_app,Turnover Probability Prediction,Unknown,Unknown,Unknown
https://github.com/sotoblanco/skin-cancer-detection,Skin Cancer Classification,Unknown,Unknown,AWS
https://github.com/JavierMoraga1/capstone2_project,Apple Disease Classification: Efficient,Unknown,Unknown,AWS
https://github.com/drew-two/MLBookcamp-Final,Car Claim Prediction,Unknown,Unknown,Unknown
https://github.com/Emekadavid/kitchenware-classification,Kitchenware Classification,Web Service,flask,AWS
https://github.com/De1iad/ML-Zoomcamp-Capstone2,Flower Classification Neural Network,Unknown,Unknown,Unknown
https://github.com/chintalapudipraneeth/MlZoomCamp/tree/main/Capstone%20Project2,Unknown,Web Service,flask,AWS
https://github.com/jcdumlao14/ML-zoomcamp-course-homework/tree/main/Capstone%20Project-2,Heart Disease Analysis,Web Service,flask,Unknown
https://github.com/moro23/ml_generator_failure_detection,Predictive Wind Turbine,Web Service,flask,Unknown
https://github.com/kmue/mlbookcamp-capstone,Kitchenware Image Classification,Web Service,bentoml,AWS
https://github.com/gregorywmorris/MLZoom2022/tree/main/capstone-1,Optimized Loan Approval,Web Service,bentoml,AWS
https://github.com/dajebbar/mlzoomcamp-capstone1,Kitchenware Image Classification,Unknown,Unknown,Unknown
https://github.com/Mostafa-Elseidy/Machine-Learning-Zoomcamp/tree/main/Capstone_1,Online Shopper Prediction,Web Service,flask,AWS
https://github.com/harg74/ML_ZoomCamp_2022/tree/main/capstone_project_one,Diamond Price Prediction,Unknown,Unknown,AWS
https://github.com/tanyashagova/roasted-coffee-been-classification,Roast Classification Model,Web Service,flask,Unknown
https://github.com/yuliyagk/capstone1,Kitchenware Image Classification,Web Service,flask,Unknown
https://github.com/alejomaar/Machine-Learning-Zoomcamp/tree/main/Capstone%201,Unknown,Web Service,fastapi,AWS
https://github.com/DonAvery/customer-marketing-project,Customer Response Prediction,Web Service,bentoml,Unknown
https://github.com/RomuloPagnozzi/mlzoomcamp-project,Fraud Prediction AI,Web Service,flask,Unknown
https://github.com/douglas-dm9/xgboost-regressor-AWS-Lambda,Optimizing Car Prices,Web Service,bentoml,AWS
https://github.com/mary435/kitchenware_classification.git,Kitchenware Image Classification,Web Service,flask,AWS
https://github.com/jvscursulim/mlzoomcamp_capstone_project,Concrete Crack Prediction,Web Service,gunicorn,Unknown
https://github.com/PatrickCmd/mlzoomcamp-capstone-project-1,Kitchen Item Classification,Web Service,web service,AWS
https://github.com/rizdiaprilian/MLZoomcamp_2022/tree/master/Project_1,Unknown,Web Service,flask,AWS
https://github.com/KevsDe/amz_reviewd_classificator,Amazon Review Analysis,Unknown,Unknown,Unknown
https://github.com/Arcangis/card_identification,Card Recognition System,Unknown,Unknown,Unknown
https://github.com/JesusAcuna/Date_Fruit_Classification_Keras,Date Fruit Classification AI,Web Service,flask,GCP
https://github.com/JavierMoraga1/capstone_project,Dimensional Transport Prediction,Unknown,Unknown,AWS
https://github.com/ChanTheDataExplorer/mlzoomcamp_capstone1_chan,Kitchenware Image Classification,Web Service,gunicorn,AWS
https://github.com/clamytoe/kitchenware_classifier,Kitchenware Classification: 0,Web Service,fastapi,Unknown
https://github.com/aminakhmetov/aminakhmetov/tree/main/ML-ZoomCamp/Capstone%20Project,Unknown,Unknown,Unknown,AWS
https://github.com/deen360/Paris-housing-prediction,Paris House Cost Estimator,Web Service,flask,Unknown
https://github.com/antihaddock/mlbookcamp_assignment2,Health Survey Classification,Web Service,flask,AWS
https://github.com/kyokai/mlzoomcamp-capstone-1,Diabetes Risk Prediction,Web Service,bentoml,AWS
https://github.com/msinha251/mlzoomcamp-2022-capstone-project-1,Dimensional Transport Prediction,Unknown,Unknown,Unknown
https://github.com/alevalve/Capstone1----ML_Zoom_Camp.-2022,Messi's,Web Service,bentoml,Unknown
https://github.com/boyarkin-m/ml_bc_capstone1,Banking Subscription Prediction,Web Service,flask,Unknown
https://github.com/Dmitrovich-Ivan/course-zoomcamp-homework/tree/main/capstone-project,Ocean Oil Prediction,Unknown,Unknown,Unknown
https://github.com/jcdumlao14/ML-zoomcamp-course-homework/tree/main/Capstone%20Project-1,Vine Leaf Classification,Web Service,flask,AWS
https://github.com/bhasarma/kitchenware-classification-project,Kitchenware Image Classification,Web Service,web service,AWS
https://github.com/ptrisha/mlbookcamp-code/tree/hw_branch/course-zoomcamp/homework/capstone1,Unknown,Unknown,Unknown,Unknown
https://github.com/Peco602/brain-stroke-detector,Stroke Detector AI,Web Service,flask,Unknown
https://github.com/yegireddihemanth/MLZoomcamp2022/tree/main/capstone,Madrid House Price Prediction,Unknown,Unknown,Unknown
https://github.com/KeiranJOC/review-classification-service,Customer Sentiment Analysis,Web Service,bentoml,AWS
https://github.com/Regidan-codes/ML-ZOOMCAMP2022/tree/main/ML-ZOOMCAMP_CAPSTONE_PROJECT,Flower Classification AI,Web Service,flask,AWS
https://github.com/meriem2012arb/Capstone1_project,Forest Fire Prediction,Web Service,flask,Unknown
https://github.com/sotoblanco/X-Ray-classification-model,Pneumonia Prediction Model,Unknown,Unknown,AWS
https://github.com/dimzachar/capstone_mlzoomcamp,Shell vs Pebble,Unknown,Unknown,AWS
https://github.com/FranciscoOrtizTena/ML_Zoomcamp/tree/main/12_week_capstone_project,Flight Fare Prediction,Web Service,bentoml,AWS
https://github.com/drew-two/ml-kitchenware-image-classification,Kitchenware Classification Model,Web Service,bentoml,AWS
https://github.com/skepticalchemist/Sex-prediction-from-fundus-image,Gender Prediction from Fundus,Batch,batch,AWS
https://github.com/LoHertel/lost-in-cupboard,Efficient Household Classification,Unknown,Unknown,Unknown
https://github.com/rzabolotin/ml_zoomcamp_2022_project_2,Feline Breed Prediction,Web Service,flask,AWS
https://github.com/cmigpereira/machine-learning-zoomcamp-capstone-project,Wine Quality Prediction,Web Service,bentoml,Unknown
https://github.com/Nakulbajaj101/mlzoomcamp-capstone-loan-prediction,Fair Loan Prediction,Web Service,bentoml,AWS
https://github.com/braccinocorto/MLZoomcamp/tree/main/__Capstone_Project,Playlist Match Model,Batch,batch,Unknown
https://github.com/daniel-gheorghita/mlzoomcamp/tree/main/Projects/Capstone_1_rock_paper_scissor_classification,Pose Prediction Model,Unknown,Unknown,AWS
https://github.com/KateK1/ML_Zoomcamp/tree/main/%D0%A1apstone%20project,IT Candidate Prediction,Web Service,bentoml,Unknown
https://github.com/lucapug/capstone-kitchenware-classification,Kitchenware Image Classification,Web Service,bentoml,Unknown
https://github.com/starynin/mlzoomcamp/tree/main/Capstone%201,Thermal-less Predictive,Web Service,flask,Unknown
https://github.com/brut0/ml-zoomcamp/tree/main/project_capstone_1,Optimal EV Range,Web Service,flask,Unknown
https://github.com/alex-fedorenk0/ml-zoomcamp/tree/main/capstone_project_1,Santa Detector AI,Unknown,Unknown,Unknown
https://github.com/Liftingthedata/ML-Zoompcamp/tree/main/Capstone%20Project%20-%201,Kitchenware Classification: X,Web Service,bentoml,GCP
https://github.com/Blaqadonis/mlzoomcamp2022_capstone_project1,CSV Data Transformation,Web Service,bentoml,AWS
https://github.com/AEBU/mlzoomcamp/tree/main/capstone-project,Fair Scholarship Algorithm,Web Service,gunicorn,Unknown
https://github.com/DmitryKarpuk/LeafDiseaseClassifier,Leaf Disease Classification,Web Service,flask,Unknown
https://github.com/maclavijo/Kitchenware-Project,Kitchenware Image Classification,Unknown,Unknown,Unknown
https://github.com/carrionalfredo/Capstone_1,Pistachio Variety Classification,Web Service,flask,AWS
https://github.com/MuhammadAwon/kitchenware-classification,Utensil Classification Model,Streaming,stream,AWS
https://github.com/Avisprof/ML_Zoomcamp_Capstone_Project,Kitchenware Image Classification,Web Service,bentoml,Unknown
https://github.com/MekongDelta-mind/ml_zoomcamp_2022_projects/tree/gh_capstone_one_branch/ml_zoomcamp_2022_capstone_one,Unknown,Unknown,Unknown,Unknown
https://github.com/arundac23/ML_Zoomcamp_2022/tree/master/12_project_2,Nature Scene Classification,Unknown,Unknown,AWS
https://github.com/surawut-jirasaktavee/course-machine-learning-zoomcamp/tree/main/project-capstone,Bean Classification AI,Web Service,flask,AWS
https://github.com/martinnnuez/Kitchenware-classifier,ML Project: Data Analysis,Web Service,web service,AWS
https://github.com/Danselem/chestxray,Chest X-Ray Classification,Unknown,Unknown,Unknown
https://github.com/zkeller89/ml_zoomcamp_cohort_2022/tree/main/capstone_project,Kitchenware Image Classification,Unknown,Unknown,AWS
https://github.com/suri976/ML-ZoomCamp_2022/tree/main/Capstone,Unknown,Web Service,flask,GCP
https://github.com/sambonuruddeen/ML-Zoomcamp-capstone1.git,Bankability Prediction,Unknown,Unknown,AWS
https://github.com/DvirFl/ML-ZoomCamp/tree/main/MidtermProject,Potability Prediction with ML,Web Service,flask,Unknown
https://github.com/MarcosMJD/ml-mango-classification,Mango Master AI,Web Service,flask,AWS
https://github.com/modfa/Capstone-Vegetable-Classification,Automated Vegetable Classification,Web Service,flask,AWS
https://github.com/angel-devicente/capstone-mlzoomcamp,Breast Cancer Prediction,Unknown,Unknown,AWS
https://github.com/vermadev54/mlzoomcamp_2022/tree/main/CapstoneProject1,Unknown,Web Service,bentoml,AWS
https://github.com/bsenst/capstone1-skin-lesion-classifier,Skin Lesion Classification,Unknown,Unknown,Unknown
https://github.com/lipinor/churn_prediction,Bank Churn Prediction,Unknown,Unknown,Unknown
https://github.com/AZaretskaya/ml-zoomcamp-homeworks/tree/main/capstone_project,Ad Click Prediction,Web Service,flask,Unknown
https://github.com/AlainDot/mlzc-cp1,Diabetes Risk Prediction,Web Service,bentoml,Unknown
https://github.com/buind85/ml-zoomcamp/tree/ca931364a70c6ddb0a7af57cc1cdc9c71e1e99ec/capstone-1,Unknown,Unknown,Unknown,GCP
https://github.com/eeeds/kitchenware-classification,Kitchenware Image Classification Challenge,Batch,batch,AWS
https://github.com/Kibzik/bike-sharing-analysis,Optimizing Chicago's,Web Service,fastapi,Unknown
https://github.com/AaishaMuhammad/mlzoomcamp_capstone,Kitchenware Classification Model,Web Service,flask,GCP
https://github.com/sl2902/mlbookcamp-code/tree/main/capstone1,Credit Card Churn Prediction,Web Service,bentoml,Unknown
https://github.com/nirmadevi7/zoomcamp_homework/tree/main/Capstone_Project1,Unknown,Web Service,bentoml,AWS
https://github.com/TatyanaMardvilko/CapstoneProject,Genre Classification Using ML,Unknown,Unknown,Unknown
https://github.com/Emekadavid/mushroom-classification,Smart Mushroom Analyzer,Web Service,flask,AWS
https://github.com/kdqemre/ml-zoomcamp-capstone-1,Fast Food Image Classification,Web Service,web service,Unknown
https://github.com/AsMoh/Plant-Diseases-Classification,Plant Disease Classification,Unknown,Unknown,AWS
https://github.com/arebimohammed/Image-Classification-End-to-End-Machine-Learning-Project,Image Classification Model Deployment,Unknown,Unknown,AWS
https://github.com/chintalapudipraneeth/MlZoomCamp/tree/main/Capstone%20Project,Genre Classification with ML,Unknown,Unknown,Unknown
https://github.com/katrinlaura73/MLZoomcamp/tree/main/CapstoneProject,Vaccine mortality predictions,Web Service,flask,Unknown
https://github.com/venky-lucky/Zoomcamp_Homework/blob/main/CapstoneProject1.rar,Unknown,Unknown,Unknown,Unknown
https://github.com/De1iad/ML-Zoomcamp-Capstone1,Fraud Prediction System,Web Service,bentoml,AWS
https://github.com/ranga4all1/food101-classification,Food Image Classification,Unknown,Unknown,AWS
https://github.com/Chewye/ZoomCamp_projects/tree/main/Capstone_1,Unknown,Web Service,flask,Unknown
https://github.com/Andrej-Ilin/course_zoomcamp_2022/tree/main/capstone1,Canine Breed Classification,Unknown,Unknown,Unknown
https://github.com/KevsDe/madrid_house_price,Madrid House Price,Unknown,Unknown,Unknown
https://github.com/alejomaar/Machine-Learning-Zoomcamp/tree/main/Midterm_proyect,Unknown,Web Service,web service,AWS
https://github.com/cmigpereira/machine-learning-zoomcamp-midterm-project,Unknown,Unknown,Unknown,Unknown
https://github.com/Arcangis/Valid_Job_Prediction,Job Fraud Detector,Unknown,Unknown,Unknown
https://github.com/vlad-e/wine-quality,Wine Classification Guide,Unknown,Unknown,Unknown
https://github.com/jiujitsa/price_prediction_app,Part Price Prediction,Unknown,Unknown,Unknown
https://github.com/Balsky99/midterm-project,Mobile Price Prediction,Web Service,web service,Unknown
https://github.com/starynin/mlzoomcamp/tree/main/Midterm%20Project,Predictive Maintenance Solution,Web Service,flask,Unknown
https://github.com/mayankdubey1996/flight_fare_prediction,India Flight Fare Prediction,Unknown,Unknown,Unknown
https://github.com/gladomat/mlzoomcamp_project_1,Enhancing Diamond Predictions,Web Service,bentoml,Unknown
https://github.com/rzabolotin/ml_zoomcamp_2022_project_1,Car Buyer Prediction,Web Service,bentoml,AWS
https://github.com/darkcorpd/ml-zoomcamp/tree/main/twitter-bots-classification,Unknown,Unknown,Unknown,Unknown
https://github.com/skepticalchemist/heart_disease_risk_classifier,Heart Risk Prediction,Web Service,web service,Unknown
https://github.com/bhasarma/mlcoursezoom-camp/tree/main/WK08-09-midterm-project,Deposit Campaign Prediction,Web Service,flask,AWS
https://github.com/PatrickCmd/mlzoomcamp/tree/main/course-zoomcamp/mid-term-project,Smoke Alarm Prediction,Web Service,web service,Unknown
https://github.com/Hertzspr/garment_productivity_rater,Garment Productivity Prediction,Web Service,bentoml,Unknown
https://github.com/GreLeBr/mlzoom/tree/master/mid_proj,Unknown,Web Service,bentoml,Unknown
https://github.com/hamitguner/ML-zoomcamp/tree/main/midterm-project,Credit Card Default Analysis,Unknown,Unknown,Unknown
https://github.com/angelineolapa/LBW-RiskPrediction,Pregnancy Weight Prediction,Unknown,Unknown,Unknown
https://github.com/msinha251/mlzoomcamp-midterm-project-2022,Dimensional Passenger Prediction,Unknown,Unknown,Unknown
https://github.com/sl2902/mlbookcamp-code/tree/main/midterm,Car Purchase Prediction,Web Service,bentoml,Unknown
https://github.com/jvscursulim/mlzoom2022_midterm_project,Heart Failure Probability Prediction,Web Service,gunicorn,Unknown
https://github.com/AkramMubeen/ML/tree/master/MidtermProject,Heart Failure Prediction System,Web Service,bentoml,Unknown
https://github.com/coderleonardo/ml_engineering_zoomcamp/tree/main/midterm_project,Car Value Prediction,Unknown,Unknown,Unknown
https://github.com/zkeller89/ml_zoomcamp_cohort_2022/tree/main/midterm_project,Predicting Hospital Readmissions,Web Service,flask,Unknown
https://github.com/meriem2012arb/Midterm-Project,Stroke Risk Prediction,Web Service,flask,Unknown
https://github.com/madhuri-15/home-loan-approval-prediction,Home Loan Prediction,Web Service,flask,Unknown
https://github.com/DeleMike/2022-zoomcamp/tree/main/midterm_project,Healthy Heart Prediction,Web Service,flask,AWS
https://github.com/sambonuruddeen/bookcamp-midterm.git,Bankability Prediction Model,Web Service,gunicorn,Unknown
https://github.com/braccinocorto/MLZoomcamp/tree/main/__Midterm%20Project,Stroke Probability Prediction,Web Service,bentoml,GCP
https://github.com/kdqemre/ml-zoomcamp,Water Pump Status Prediction,Web Service,web service,Unknown
https://github.com/praveenbalijepalli/zoomcamp2022-midterm-project,Webpage Safety Classification,Web Service,flask,Unknown
https://github.com/Regidan-codes/ML-ZOOMCAMP2022/tree/main/ML_ZOOMCAMP_MIDTERM_PROJECT,Solar Eclipse Classification,Web Service,bentoml,Azure
https://github.com/MarcosMJD/ml-fish-weight-predition,Fishing Weight Prediction,Web Service,flask,AWS
https://github.com/dheerajkarra/ML_Engineering/tree/main/Mid_Project,Fraud Detector Deployment,Web Service,flask,Unknown
https://github.com/Danselem/appliance_pred,Energy Consumption Prediction Model,Unknown,Unknown,Unknown
https://github.com/rizdiaprilian/MLZoomcamp_2022/tree/master/Capstone_project,Unknown,Web Service,flask,GCP
https://github.com/ivtprakashhotmail/employee-attrition,Attrition Prediction System,Web Service,bentoml,Unknown
https://github.com/hichemck/airbnb,Airbnb Price Prediction,Web Service,bentoml,AWS
https://github.com/npthao110/machine-learning---data-club/blob/main/Project.ipynb,Unknown,Unknown,Unknown,Unknown
https://github.com/douglas-dm9/ML-zoomcamp/tree/main/capstone_project,Unknown,Web Service,bentoml,AWS
