project_url,project_title
https://github.com/Acsod/ML_Zoomcamp/tree/main/Midterm%20project,Drug Test Identification
https://github.com/olgazju/ml_camp_2023/blob/main/midterm_project/README.md,Unknown
https://github.com/ignacio-mrtz/ml-zoomcamp/tree/main/zoomcamp_midterm_project,Advertising Sales Prediction
https://github.com/zenbakle/Student-dropout,Predicting Student Dropouts
https://github.com/rodolfojmatos/ML_zoomcamp_mid_term/tree/main,Income Classification Deployment
https://github.com/naveeda11/machine-learning-zoomcamp/tree/master/cohorts/2023/midterm_project,Hotel Cancellation Prediction
https://github.com/bergimax/Market-ticker-prediction,Market Ticker Prediction
https://github.com/hazerr/mlzoomcamp/tree/main/midtermproject,Unknown
https://github.com/felpscunha/german-credit-risk,Credit Risk Analysis
https://github.com/ValeryKarnevich/pistachio-binary-classification.git,Pistachio Type Classification
https://github.com/passat05/Retail-data-analysis,Sales Forecasting Solution
https://github.com/sanchis135/MLZoomcamp2023/tree/main/Midterm_project,Breast Cancer Diagnosis Prediction
https://github.com/Chalermdej-l/Flight_Prediction_Project,Flight Duration Prediction
https://github.com/myaeisan77/mid_term_project_mlzoomcamp.git,Wine Quality Prediction
https://github.com/g-verikios/Lead-Scoring,Lead Prediction Service
https://github.com/Tadwork/MLZoomCampSolutions/tree/main/midterm,Amazon Price Prediction
https://github.com/AudryBarimbane/mlzoomcamp_mid_term,Loan Eligibility Prediction
https://github.com/16danielvm/MLZoomCamp/tree/master/Midterm_Project,StressDetect: Sleep
https://github.com/wongcheefah/mlzoomcamp_midterm,Diabetes Prediction Model
https://github.com/athularr/MLZC_Midterm_Project.git,Engine Health Analysis
https://github.com/Hokfu/Energy-Consumption-Model,Energy Consumption Prediction
https://github.com/danilson33/ml-zoomcamp-midterm-project,Sport Car Price Prediction
https://github.com/Nireplag/water_potability/tree/main,Water Quality Classification
https://github.com/gainutdini/ml_zoomcamp/tree/main/Midterm%20project,Review Rating Classification
https://github.com/rahmaha/mlzoomcamp-midterm,Predicting Diamond Prices
https://github.com/cyberholics/mlzoomcamp-midterm-project,Fraud Alert System
https://github.com/michaelfronda/ATXHousePrice,House Price Estimator
https://github.com/ovlasenko-ellation/mid_term_project_mlzoomcamp/tree/main,Traffic Prediction AI
https://github.com/shayansm2/kaggle_playground/tree/main/nlp-getting-started,Disaster Tweet Detector
https://github.com/dr-zaib/midterm-project,Potability Prediction Service
https://github.com/PriyaVellanki/diabetest-risk-score/tree/main,Diabetes Risk Prediction
https://github.com/mroubaud/mlz-middle-term-project/tree/master,Streamlit ML Interface
https://github.com/ColombiaMRP/What-variables-should-be-consider-for-an-online-loan-applicant-/tree/main,Loan Eligibility Prediction
https://github.com/durach/ml-zoomcamp-2023/tree/main/midterm-project,Cardiovascular Prediction Tool
https://github.com/sigord/coins_forecasting,Crypto Forecast Service
https://github.com/vicky356/code_defect/tree/main,Defect Prediction System
https://github.com/CH2001/Employee-churn-classification/tree/main,Churn Classification Model
https://github.com/nadia-paz/cdc_diabetes,Diabetes Risk Prediction
https://github.com/aaalexlit/ml_zoomcamp_midterm_cdc_diabetes,US Diabetes Classification Analysis
https://github.com/peng22/employee_leave_prediction,Employee Retention Prediction
https://github.com/Haroldgio28/Airline-delay-prediction,FlightDelayAI
https://github.com/peterernicke/ML_Zoomcamp_2023_MidtermProject,Predicting Heart Attacks
https://github.com/JCGutierrezConcha/Predict-Frogs-Presence-Using-Climate-Data,Frog Prediction Model
https://github.com/cecilegltslmcs/car_co2_emission,Car CO2 Tracker
https://github.com/PhyoMK/ML-zoomcamp/tree/c0740487ee731c48e829679b0a67f0543934e74f/Midterm_Project,Heart Disease Prediction
https://github.com/BeckMarquez/ML_zoomcamp_2023/blob/Midterm_project/README.md,Unknown
https://github.com/WimCasteels/midterm-project,Edible Mushroom Classification
https://github.com/olkudrina/diabetes_ml/tree/master,Diabetes Prediction Model
https://github.com/Fozan-Talat/heart-disease-classification/tree/main,Heart Risk Prediction
https://github.com/Ologunjae/MLZoomcamp/tree/master/cohorts/2023/07-project,Nigerian Economic Growth Forecast
https://github.com/revathykdeepak/Diabetes-Prediction/tree/main,Diabetes Prediction App
https://github.com/TylerJSimpson/machine_learning_zoomcamp/tree/main/midterm,Loan Approval Prediction
https://github.com/tomorrow15/Datatalk/tree/midterm_project,"Based on the information provided,"
https://github.com/kabiromohd/Life_Expectancy_Prediction,Longevity Prediction
https://github.com/phyoehtetkyaw/DataTalk-Machine-Learning/tree/main/midterm,Unknown
https://github.com/Justlesia/predict-atm-pressure/tree/main,Air Quality Analysis: Regression
https://github.com/LygutaKsusha/MLZoomCamp/tree/main/Project/Middletearm_Project,Kitchen Image Classification
https://github.com/AndyDrey/zoomcamp_hw/tree/main/midterm_project,Stroke Risk Prediction
https://github.com/MAdhavbhatia222/ML_Zoomcamp/tree/95eedb1cb91da4718a67f29af5be4d56228c9cbc/Mid_Term,Seattle Airbnb Cost Prediction
https://github.com/bsenst/housing-germany,German Rent Prediction
https://github.com/manova01/MidtermProject/tree/main,Delivery Prediction
https://github.com/adrn-mm/mlzoomcamp_midterm_project,Milling Failure Prediction
https://github.com/cancamilo/star-classifier,Sky Object Classification
https://github.com/mohamedelhilaltek/Nyc_taxi_Trip_duration,NYC Taxi Trip Prediction
https://github.com/tvsirius/ml_zoomcamp_midterm_student_dropout,Student Dropout Prediction
https://github.com/euthumos/mlcourse/tree/main/07-midterm,Smoking Classification Model
https://github.com/prantoran/ML_Zoomcamp_predict_brain_stroke,Stroke Probability Estimator
https://github.com/shwehan/ZC-midterm23,Synthetic Fraud Prediction
https://github.com/eddybrownent/Smoking_Status_P,Smoking Status Prediction
https://github.com/sergioasb8/midterm_project,Football Match Predictions
https://github.com/Shubh18s/high-income-earner-prediction,Predicting High Earners
https://github.com/abhirup-ghosh/medical-appointment-no-shows,Appointment No-Show Prediction
https://github.com/Data4everyone/ml-zoomcamp/tree/Principal,COMPAS Bias Prediction
https://github.com/Slayerma/mid-term,Credit Fraud Prediction
https://github.com/TWOCHE/pneumonia_DL,Unknown
https://github.com/kostapao/sleep-quality-mlmodel/tree/main,Sleep Quality Prediction
https://github.com/ellacharmed/mlzoomcamp-midterms-predict-graduation/tree/submission,Graduation Prediction AI
https://github.com/tokurgit/crop-yield-prediction,Crop Yield Prediction
https://github.com/zwe-htet-paing/Bitcoin_investment_Decision,Bitcoin Price Analysis
https://github.com/DevJadhav/ml-zoomcamp/tree/main/07-midterm_project,Employee Churn Prediction
https://github.com/AlexThePy/Midterm-Project-MLZoomcamp,Mobile Price Prediction
https://github.com/mleiwe/Ml-ZoomCamp_CancerMidTerm,Improved Tumor Prediction
https://github.com/anudeepvanjavakam1/churn_prediction,Churn Prediction Analytics
https://github.com/edcalderin/Medical-Insurance-Charge-prediction,InsureML Cost Prediction
https://github.com/doubledare704/ml-zoomcamp-hw/tree/main/homework_src/Midterm_Project,Fraud Prediction Models
https://github.com/MokarbeenAnsari/machine-learning-zoomcamp/tree/main/Week_07/mid_term_project,Data-Driven Home Pricing
https://github.com/hani-yasser/midterm_project_ml_zoomcamp/tree/main,Predicting Heart Attacks
https://github.com/anandaiml19/MLZOOMCAM_MIDTERM_PROJECT,Airfare Prediction XG
https://github.com/rmnchopra91/ml-zoomcamp/tree/main/homework/2023/07-Project,Deposit Subscription Prediction
https://github.com/Felikin/Software-Defects-Detection-XGBoost,C Defect Prediction
https://github.com/ZackyWasTaken/MLCampMidterm,Student GPA Prediction
https://github.com/kontorovskaya/mlzoomcamp/tree/main/midterm-project,Quit-Smoking Prediction
https://github.com/dencan06/mlzoomcamp/tree/main/midterm,House Price Prediction
https://github.com/desenfirman/machine-learning-zoomcamp/tree/0e6111a/.__MIDTERM__,Early Crosser Prediction
https://github.com/rassel25/Parkinson-Disease-Detection,Parkinson's Prediction Model
https://github.com/ozgeozge/heart-failure-prediction,Heart Mortality Prediction
https://github.com/kahramanmurat/ml-zoomcamp-capstone-1,Fraud Prediction Dataset
https://github.com/KdrDrn/mlzoomcamp_midterm_project.git,Predicting Annual Income
https://github.com/JCGutierrezConcha/Predict-Frogs-Presence-Using-Climate-Data.git,Frog Prediction Model
https://github.com/alaabensaid/ml/blob/main/Projet1.ipynb,Unknown
https://github.com/danietakeshi/ml-zoomcamp-project-1,Optimal Crab Harvesting
https://github.com/AlixPaulino/ML_ZOOMCAMP_MID_PROJECT,Future Resource Prediction
https://github.com/lokicik/midterm_project_ml_zoomcamp,Harmful Habits Classification
https://github.com/espettia/ml-zoomcamp-notes/tree/main/midterm_project/diabetes,Diabetes Prediction Project
https://github.com/kmajeed/mlzoomcamp_diabetes_prediction,Diabetes Prediction Service
https://github.com/kkqingg/MLZOOMCAMP,Titanic Logistic Deployment
https://github.com/ZehavaBatya/Billionaire-Boom,Billionaire Impact Analysis
https://github.com/B1adeRaven/midterm_project.git,Bankruptcy Prediction Models
https://github.com/Bcopeland64/ML-Zoomcamp-Capstone-Project,Data Scientist Salary Prediction
https://github.com/avinashvootkuri/Credit_Card_Approvals/tree/main,Credit Approval Prediction
https://github.com/abhinit21/ml-learning/tree/midterm-project,Unknown
https://github.com/dzumii/MLzoomcamp/tree/main/MidtermProject,ML Predictions with Docker
https://github.com/rbblmr/smoker-signals,Smoking Status Prediction
https://github.com/Arun-Pat/MLZoomCamp_AP/tree/521cfbc7be2e7736591892cb880e621229d055a8/MidTerm_Project,Autism Prediction Model
https://github.com/ahmedokka29/Binary-Prediction-of-Smoker-Status-using-Bio-Signals#midterm-project-binary-prediction-of-smoker-status-using-bio-signals,Unknown
https://github.com/NotYetBenGan/base/tree/main/MLZoomCamp/MidtermProject,Churn Prediction Model
https://github.com/dawei7/ML_Project_RedWineQuality,Quality Wine Classification
https://github.com/H-GRF/Mobile-Prices-Prediction/tree/main,Algerian Mobile Price
https://github.com/eainthmone231/datatalk_mlzoomcamp_Project1,Diabetes Risk
https://github.com/tristusdelatristussie/week7,Employee Retention Prediction
https://github.com/kerimbeka/machine-learning-zoomcamp/tree/master/homeworks/midterm-project,Bankruptcy Prediction Model
https://github.com/carise/ml-zoomcamp-midterm,Heart Failure Prediction
https://github.com/abduladjan/zoomcamp2023/tree/main/Midterm%20project,Rain Prediction Australia
https://github.com/Nester4u/ML-zoomcamp-project-1/,Academic Performance Prediction
https://github.com/difurka/mlbookcamp_learning/tree/main/midtern_project,Churn Prediction Model
https://github.com/lumenalux/GTZAN_music_genre_classification,Music Genre Classification
https://github.com/amorenomateos/ML_COURSE/tree/main/MIDPROJECT,Unknown
https://github.com/kshilovskiy/ml_zoomcamp/tree/main/projects/project_1,ML Virtual Setup Guide
https://github.com/anonyblank/mid-term,Employee Churn Prediction
https://github.com/sarah-zhan/house_price_prediction,Optimized House Price Prediction
https://github.com/javier-cp6/santander-customer-satisfaction,Customer Satisfaction Prediction
https://github.com/thaingoc273/Machine_learning_zoomcamp/tree/main/Week_7_midterm,Loan Default Prediction
https://github.com/Shyam-Sundar-7/mlzoomcamp/tree/main/Mini%20project,Vehicle Insurance Interest
https://github.com/ol-pg/ml-zoomcamp/tree/main/midterm_project,TikTok Content Analysis
https://github.com/Koda98/smoker-status-prediction/tree/main,Smoking Status Prediction
https://github.com/Pepe-alpa/MLZoomCamp/tree/main/Midterm-Project,Liver Cirrhosis Mortality
https://github.com/partapparam/MLmidterm.git,Flight Satisfaction Factors
https://github.com/AndreaPlascencia/machine-learning-zoomcamp/tree/2ee8ed27d1d7e75af02f3eff3ca211032b68b93a/midterm-project,Gene-based Cancer Classification
https://github.com/AndrewTsai0406/Parkinson-Severity-Assessment,Parkinson's Progression
https://github.com/ai2ys/CDC-Diabetes-Health-Indicators,Diabetes Prediction Service
https://github.com/marcosbenicio/diabetes-classification,Predicting Diabetes Risk Factors
https://github.com/tukhtarov/machine-learning-zoomcamp-midterm-project,Deposit Subscription Prediction
https://github.com/BuzzKanga/MLZoomcamp-2023-Mid-Term-Project/tree/main,Car Price Accuracy Battle
https://github.com/dip00dip/mlzoomcamp/tree/main/midterm,Wine Price Prediction
https://github.com/prasum/ML-Zoomcamp-2023/tree/main/MidTermProject,Unknown
https://github.com/buriihenry/Salary-Prediction-for-Software-Engineers,Salary Prediction Web App
https://github.com/gkumarg/eye-state-classification,EEG State Classification
https://github.com/DineshChopra/ml-zoomcamp/tree/main/cohort/2023/07-midterm-project/bank_term_deposit_prediction,Deposit Subscription Prediction
https://github.com/JuliasITProjects/MidtermProjectMLZoomcamp,Laptop Price Prediction
https://github.com/Itssshikhar/ML-midterm-project,Stock Trend Prediction
https://github.com/faroquehassan/Stock-Prediction-Project,S&P 500 Prediction Model
https://github.com/ranga4all1/temp-forecasting,Delhi Temperature Forecasting
https://github.com/ryanpram/player-valuation-prediction,Football Player Valuation
https://github.com/NanThawe/student_dropout_pred,Anticipating Student Ret
https://github.com/jblanco89/ML_Zoomcamp_Midterm,Optimizing Customer Lifetime
https://github.com/JRaul7/machine-learning-zoomcamp/tree/e98beafa5e400c9489e9664342c3238db716ca80/midterm_project,Math Performance Prediction
https://github.com/Sharpylo/ml_zoomcamp/tree/main/Midterm_Project,Heart Attack Prediction
https://github.com/DigitalSuYee/Predicting-Customer-Revenue,Revenue Prediction Model
https://github.com/balthapaixao/ml-zoomcamp/tree/main/week-07/midterm_project,Flight Price Prediction
