,,,,
1,reviewer_hash,project_hash,commit,project_url
,,,,
2,51237d50343735c3fe6119b2c3fe2c69b1f48965,27d1aa30829dbf0b0320df0a3bb95af2cc736c59,46875fa,https://github.com/Acsod/ML_Zoomcamp/tree/main/Midterm%20project
3,51237d50343735c3fe6119b2c3fe2c69b1f48965,5ee6a2b00bc634288767d028ff8d0c44fa141ffc,df194ec,https://github.com/olgazju/ml_camp_2023/blob/main/midterm_project/README.md
4,51237d50343735c3fe6119b2c3fe2c69b1f48965,bcfa3bc19eac053114929ddabaabbca4e0f55560,2d5f5bb,https://github.com/ignacio-mrtz/ml-zoomcamp/tree/main/zoomcamp_midterm_project
5,f147d8fdb9816e21b5fdc7b64fa733e9d97ae65e,43d61f1fe360ba9c50eb5fae8b64e4c5b3fcd8fb,133803b,https://github.com/zenbakle/Student-dropout
6,f147d8fdb9816e21b5fdc7b64fa733e9d97ae65e,04e10653305ed6277735fa478248e08783c1cc51,2ea9a71,https://github.com/rodolfojmatos/ML_zoomcamp_mid_term/tree/main
7,f147d8fdb9816e21b5fdc7b64fa733e9d97ae65e,79cd7bc3673e1d717dab9f5f8a832f26c73049c2,6ca3594,https://github.com/naveeda11/machine-learning-zoomcamp/tree/master/cohorts/2023/midterm_project
8,296fcbdea39e61727b175fc140e7f9952fc7f3a4,3129e26a34311de8608b28f7d3af3cbdc22f0f83,27f5d05,https://github.com/bergimax/Market-ticker-prediction
9,296fcbdea39e61727b175fc140e7f9952fc7f3a4,760bbbf0af3ce580f2327b3b7a8d8a1b32bb8624,d892a2d,https://github.com/hazerr/mlzoomcamp/tree/main/midtermproject
10,296fcbdea39e61727b175fc140e7f9952fc7f3a4,9bc4a6b9924d28bd2f143b4511079a8d93cd69d6,bd65c0e,https://github.com/felpscunha/german-credit-risk
11,c60eed50156ce8cc39a9ec2f5a12ac03a69a33b5,04e10653305ed6277735fa478248e08783c1cc51,2ea9a71,https://github.com/rodolfojmatos/ML_zoomcamp_mid_term/tree/main
12,c60eed50156ce8cc39a9ec2f5a12ac03a69a33b5,fd1b736487f19369f7d1b9f8c21f2899acc815dc,1e373e3,https://github.com/ValeryKarnevich/pistachio-binary-classification.git
13,c60eed50156ce8cc39a9ec2f5a12ac03a69a33b5,e1233115b7ee7a18f4e060635182205f4481b6e3,24ccf6e,https://github.com/passat05/Retail-data-analysis
14,774678aec551cc8dd1fbee0595bf39af48ea7322,016b1bd5303414b66af6da18d36337d69277307a,a90169c,https://github.com/sanchis135/MLZoomcamp2023/tree/main/Midterm_project
15,774678aec551cc8dd1fbee0595bf39af48ea7322,0e55e54e83d5387ffebf46661e050f757daa1b3e,d6b7c34,https://github.com/Chalermdej-l/Flight_Prediction_Project
16,774678aec551cc8dd1fbee0595bf39af48ea7322,3fc4d4bb433b2dd587fdaf124c0285fafd5a9999,013468c,https://github.com/myaeisan77/mid_term_project_mlzoomcamp.git
17,7d770591541ed4c4968cd16e9d479ddbcabbe589,e6049a12db9f09c399ce8c118984c07a5203000c,bfe93be,https://github.com/g-verikios/Lead-Scoring
18,7d770591541ed4c4968cd16e9d479ddbcabbe589,f19514aae7b5968832a62b45f60660ae4f25ef72,4a7a6d2,https://github.com/Tadwork/MLZoomCampSolutions/tree/main/midterm
19,7d770591541ed4c4968cd16e9d479ddbcabbe589,9b3f7e2b19dc63c70ebe97554b866a475ab70893,7a5999c,https://github.com/AudryBarimbane/mlzoomcamp_mid_term
20,779740fcba9e57fe1bdcbac6542a2b8f5e69eac3,23995a77324362ca8ad89bb4a237a6757d960cac,82e818d,https://github.com/16danielvm/MLZoomCamp/tree/master/Midterm_Project
21,779740fcba9e57fe1bdcbac6542a2b8f5e69eac3,d061a359b5ccbabb299a56bec51ed2af5d8a4c5f,7a31c7a,https://github.com/wongcheefah/mlzoomcamp_midterm
22,779740fcba9e57fe1bdcbac6542a2b8f5e69eac3,4fa24a804001c376f26521f796f2192a18721270,bed0f05,https://github.com/athularr/MLZC_Midterm_Project.git
23,23995a77324362ca8ad89bb4a237a6757d960cac,92631dc357a68d0aab997f10ec04de79eabd246f,9d02ca8,https://github.com/Hokfu/Energy-Consumption-Model
24,23995a77324362ca8ad89bb4a237a6757d960cac,8fe9d15a212323c10d271a9cae783423f4c549e3,1836f63,https://github.com/danilson33/ml-zoomcamp-midterm-project
25,23995a77324362ca8ad89bb4a237a6757d960cac,cc015c7a61b8689bd306df1b09b58d0f3f616757,c25f1f6,https://github.com/Nireplag/water_potability/tree/main
26,151e61b5fedc5fdcf37d75aeac534142175ac44b,26f4be5fe1eea969a84839a303abc414eb8bcbad,fe77df4,https://github.com/gainutdini/ml_zoomcamp/tree/main/Midterm%20project
27,151e61b5fedc5fdcf37d75aeac534142175ac44b,f203c6c90151d2d8e3a40d1c2e2b01126f246397,b704277,https://github.com/rahmaha/mlzoomcamp-midterm
