project_url,project_title
https://github.com/Alvaro-Kothe/MLOps-Zoomcamp-Project,Mushroom Edibility Predictor
https://github.com/abdala9512/mlops-zoomcamp-project-2023,Churn Prediction Solution
https://github.com/rishikeshF/old_car_price_prediction_mlops,Car Price Predictor
https://github.com/GattigorlaShivani/MLOPS_ZOOMCAMP.git,Unknown
https://github.com/Mani1213/MLOps_Zoomcamp.git,Insufficient Information Available
https://github.com/Blaqadonis/human_action_recognition_app,Human Activity Classifier
https://github.com/jblanco89/MLOps_zoomcamp_course,Stock Price Predictor
https://github.com/yshen92/mlops-capstone-project,Spam Detector Pipeline
https://github.com/rehamessameltagoury/Loan-Approval-Prediction/,Loan Approval Prediction
https://github.com/Elsayed91/taxi-data-pipeline,Scalable Data Pipeline with Quality
https://github.com/KonuTech/mlops-zoomcamp-project,Used Car Price Prediction
https://github.com/Shubh18s/mlops-zoomcamp-2023-project,NYC Citibike Ride Predictions
https://github.com/benitomartin/mlops-car-prices,Car Price Predictor
https://github.com/HCA97/LOL-Match-Outcome,Match Predictor Tool Implementation
https://github.com/EugenePog/car-price-evaluation,Car Price Evaluator
https://github.com/sheperd007/MLOps-Zoomcamp-Course/tree/main/07-projects/1,CT-based SARS Detection
https://github.com/albwrekt/mlops_zoomcamp_final_project/tree/main,Unknown
https://github.com/JlnLNT/mlops-project,Renewable Energy Prediction
https://github.com/yegireddihemanth/MLOpps-Zoomcamp.git,Zoomcamp ML Training
https://github.com/carrionalfredo/Pistachio-Classifier,Pistachio Type Identification
https://github.com/edcalderin/student-dropout-prediction-mlops,Dropout Predictor Model
https://github.com/mosesdaudu001/project-mlops-zoomcamp,Daily Air Quality Prediction
https://github.com/martinnnuez/Energy_Efficiency,Heat Load Prediction Analysis
https://github.com/venky-lucky/MLOPS_ZoomCamp/tree/main/git_project,Unknown
https://github.com/samlafell/mlops_zoomcamp_sam/tree/master/07-project,Wine Quality Predictor
https://github.com/fandemisterling100/mlops-final-project,Money Laundering Detection
https://github.com/ioannismesionis/mlops-zoomcamp-assignment,Car Price Prediction
https://github.com/iamzeynepcetin/mlops_project,Diabetes Prediction Pipeline
https://github.com/bsenst/mlops/tree/main/experiments/health-pipeline,Cardiac Screening Challenges
https://github.com/BuzzKanga/Project-XGBoost-MLOps,Churn Prediction Pipeline
https://github.com/Tobi-Ade/mlops_customer_churn_prediction,Bank Churn Prediction
https://github.com/RoberVega/Showcase,Dockerized Data Analysis Workflow
https://github.com/Irf4n-Muhammad/MLOPS-Project-Youtube-Trending/blob/main/README.md,Unknown
https://github.com/kawczy83/2023_MLOps_Final_Project/,Creditworthiness Prediction Zoomcamp
https://github.com/chintalapudipraneeth/MlOpsZoomCamp/tree/main,Unknown
https://github.com/amine-akrout/mlops-zoomcamp-capstone,Credit Card Default Prediction
https://github.com/Data-Think-2021/mlops-final-project/tree/main,Unknown
https://github.com/ayeffkay/mlops_zoomcamp_project/tree/develop,Unknown
https://github.com/suri976/ML_OPS_ZOOM_CAMP/tree/main,Unknown
https://github.com/sebastiancontz/ml-ops-zoomcamp-project,Housing Price Prediction
https://github.com/bkraffa/mlopszoomcampproject,Bike Trip Duration Predictor
https://github.com/antihaddock/mlops_camp_project,Hospital Stay Prediction
https://github.com/seacevedo/Splatoon_Battle_Prediction,Cloud-based ML Solution
https://github.com/skipper-com/dtc_mlops_course_project,Airbnb Price Predictor
https://github.com/Sebasfac/MLOPS_zoomcamp_project/tree/main,Unknown
https://github.com/MANOJ21K/MLOPs.git,NYC Taxi MLOps Implementation
https://github.com/Bcopeland64/Zoomcamp-Notebooks/tree/main,Unknown
https://github.com/qCircuit/zoomcamp_project,Bitcoin Price Prediction
https://github.com/weslleyalmeid/credit_risk_mlops/tree/main,Unknown
https://github.com/suparshukov/escooters-demand-mlops,Electric Scooter Demand Forecast
https://github.com/mussiehaile/Bank-Churn-end-to-end.git,Bank Churn Prediction
https://github.com/Joseun/lightsonheights,Fake News Classifier App
https://github.com/rehamessameltagoury/Loan-Approval-Prediction,Loan Approval Prediction
https://github.com/Nelsonlin0321/ml-bst-movielens1m-recommender-serving,Movie Recommendation API
https://github.com/khushal2911/mlops-zoomcamp/tree/main/07-project,Unknown
https://github.com/anammari/mlops-zoomcamp-project-2023,DC Taxi Fare Estimation
https://github.com/celik-muhammed/MLOps-Zoomcamp-Module-7-Project-2-Citi-Bike-Ride-Duration-Prediction,Citi Bike Ride Duration
https://github.com/BoKatanKrize/kickstarter-mlops,Kickstarter Success Predictor
https://github.com/FaresAmiar/mlops-zoomcamp-project,Airbnb Price Prediction
https://github.com/GiTilemac/mlops-project,Pancreatic Cancer Prediction
https://github.com/directdetour/MLOps-Project,Linear Regression Operationalization
https://github.com/marcosppaiva/mlops-final-project,Rent Prediction Tool
https://github.com/benjpacheco/loan-data-project,AWS Loan Default Prediction
https://github.com/ynusinovich/mlops-zoomcamp-dtc/tree/main/project,Water Contaminant Prediction
https://github.com/KaleShreyas/turbo-fiesta,Renewable Energy Predictor
