project_url,project_title,Deployment Type,Reason
https://github.com/Alvaro-Kothe/MLOps-Zoomcamp-Project,Mushroom Edibility Predictor,Web Service,fastapi
https://github.com/abdala9512/mlops-zoomcamp-project-2023,Churn Prediction Solution,Batch,batch
https://github.com/rishikeshF/old_car_price_prediction_mlops,Car Price Predictor,Web Service,flask
https://github.com/GattigorlaShivani/MLOPS_ZOOMCAMP.git,Unknown,Unknown,
https://github.com/Mani1213/MLOps_Zoomcamp.git,Insufficient Information Available,Unknown,
https://github.com/Blaqadonis/human_action_recognition_app,Human Activity Classifier,Batch,batch
https://github.com/jblanco89/MLOps_zoomcamp_course,Stock Price Predictor,Batch,batch
https://github.com/yshen92/mlops-capstone-project,Spam Detector Pipeline,Batch,batch
https://github.com/rehamessameltagoury/Loan-Approval-Prediction/,Loan Approval Prediction,Unknown,
https://github.com/Elsayed91/taxi-data-pipeline,Scalable Data Pipeline with Quality,Batch,batch
https://github.com/KonuTech/mlops-zoomcamp-project,Used Car Price Prediction,Batch,batch
https://github.com/Shubh18s/mlops-zoomcamp-2023-project,NYC Citibike Ride Predictions,Batch,batch
https://github.com/benitomartin/mlops-car-prices,Car Price Predictor,Web Service,flask
https://github.com/HCA97/LOL-Match-Outcome,Match Predictor Tool Implementation,Unknown,
https://github.com/EugenePog/car-price-evaluation,Car Price Evaluator,Unknown,
https://github.com/sheperd007/MLOps-Zoomcamp-Course/tree/main/07-projects/1,CT-based SARS Detection,Unknown,
https://github.com/albwrekt/mlops_zoomcamp_final_project/tree/main,Unknown,Unknown,
https://github.com/JlnLNT/mlops-project,Renewable Energy Prediction,Unknown,
https://github.com/yegireddihemanth/MLOpps-Zoomcamp.git,Zoomcamp ML Training,Unknown,
https://github.com/carrionalfredo/Pistachio-Classifier,Pistachio Type Identification,Web Service,flask
https://github.com/edcalderin/student-dropout-prediction-mlops,Dropout Predictor Model,Streaming,stream
https://github.com/mosesdaudu001/project-mlops-zoomcamp,Daily Air Quality Prediction,Unknown,
https://github.com/martinnnuez/Energy_Efficiency,Heat Load Prediction Analysis,Web Service,web service
https://github.com/venky-lucky/MLOPS_ZoomCamp/tree/main/git_project,Unknown,Unknown,
https://github.com/samlafell/mlops_zoomcamp_sam/tree/master/07-project,Wine Quality Predictor,Unknown,
https://github.com/fandemisterling100/mlops-final-project,Money Laundering Detection,Web Service,flask
https://github.com/ioannismesionis/mlops-zoomcamp-assignment,Car Price Prediction,Unknown,
https://github.com/iamzeynepcetin/mlops_project,Diabetes Prediction Pipeline,Web Service,flask
https://github.com/bsenst/mlops/tree/main/experiments/health-pipeline,Cardiac Screening Challenges,Unknown,
https://github.com/BuzzKanga/Project-XGBoost-MLOps,Churn Prediction Pipeline,Unknown,
https://github.com/Tobi-Ade/mlops_customer_churn_prediction,Bank Churn Prediction,Web Service,flask
https://github.com/RoberVega/Showcase,Dockerized Data Analysis Workflow,Web Service,flask
https://github.com/Irf4n-Muhammad/MLOPS-Project-Youtube-Trending/blob/main/README.md,Unknown,Unknown,
https://github.com/kawczy83/2023_MLOps_Final_Project/,Creditworthiness Prediction Zoomcamp,Web Service,flask
https://github.com/chintalapudipraneeth/MlOpsZoomCamp/tree/main,Unknown,Unknown,
https://github.com/amine-akrout/mlops-zoomcamp-capstone,Credit Card Default Prediction,Web Service,fastapi
https://github.com/Data-Think-2021/mlops-final-project/tree/main,Unknown,Batch,batch
https://github.com/ayeffkay/mlops_zoomcamp_project/tree/develop,Unknown,Batch,batch
https://github.com/suri976/ML_OPS_ZOOM_CAMP/tree/main,Unknown,Unknown,
https://github.com/sebastiancontz/ml-ops-zoomcamp-project,Housing Price Prediction,Batch,batch
https://github.com/bkraffa/mlopszoomcampproject,Bike Trip Duration Predictor,Web Service,flask
https://github.com/antihaddock/mlops_camp_project,Hospital Stay Prediction,Web Service,flask
https://github.com/seacevedo/Splatoon_Battle_Prediction,Cloud-based ML Solution,Unknown,
https://github.com/skipper-com/dtc_mlops_course_project,Airbnb Price Predictor,Batch,batch
https://github.com/Sebasfac/MLOPS_zoomcamp_project/tree/main,Unknown,Unknown,
https://github.com/MANOJ21K/MLOPs.git,NYC Taxi MLOps Implementation,Unknown,
https://github.com/Bcopeland64/Zoomcamp-Notebooks/tree/main,Unknown,Unknown,
https://github.com/qCircuit/zoomcamp_project,Bitcoin Price Prediction,Web Service,flask
https://github.com/weslleyalmeid/credit_risk_mlops/tree/main,Unknown,Batch,batch
https://github.com/suparshukov/escooters-demand-mlops,Electric Scooter Demand Forecast,Web Service,web service
https://github.com/mussiehaile/Bank-Churn-end-to-end.git,Bank Churn Prediction,Web Service,fastapi
https://github.com/Joseun/lightsonheights,Fake News Classifier App,Unknown,
https://github.com/rehamessameltagoury/Loan-Approval-Prediction,Loan Approval Prediction,Unknown,
https://github.com/Nelsonlin0321/ml-bst-movielens1m-recommender-serving,Movie Recommendation API,Web Service,fastapi
https://github.com/khushal2911/mlops-zoomcamp/tree/main/07-project,Unknown,Unknown,
https://github.com/anammari/mlops-zoomcamp-project-2023,DC Taxi Fare Estimation,Web Service,flask
https://github.com/celik-muhammed/MLOps-Zoomcamp-Module-7-Project-2-Citi-Bike-Ride-Duration-Prediction,Citi Bike Ride Duration,Unknown,
https://github.com/BoKatanKrize/kickstarter-mlops,Kickstarter Success Predictor,Web Service,flask
https://github.com/FaresAmiar/mlops-zoomcamp-project,Airbnb Price Prediction,Unknown,
https://github.com/GiTilemac/mlops-project,Pancreatic Cancer Prediction,Batch,batch
https://github.com/directdetour/MLOps-Project,Linear Regression Operationalization,Unknown,
https://github.com/marcosppaiva/mlops-final-project,Rent Prediction Tool,Web Service,fastapi
https://github.com/benjpacheco/loan-data-project,AWS Loan Default Prediction,Web Service,fastapi
https://github.com/ynusinovich/mlops-zoomcamp-dtc/tree/main/project,Water Contaminant Prediction,Unknown,
https://github.com/KaleShreyas/turbo-fiesta,Renewable Energy Predictor,Web Service,flask
https://github.com/ugm2/email-discriminator,Email Article Filter,Batch,batch
https://github.com/louis-reinaldo/mlopsproject_eth_prediction/blob/main/07-project/,Unknown,Unknown,
https://github.com/inrsta/spotify-prediction-api,Spotify Popularity Predictor,Unknown,
https://github.com/edcalderin/StudentDropout-Prediction-Mlops/changes,Unknown,Unknown,
https://github.com/henrikerola/mlops-zoomcamp-project,Diabetes Prediction Platform,Web Service,flask
https://github.com/slchangtw/imdb_sentiment_analysis_mlops,IMDB Sentiment Analysis Pipeline,Batch,batch
https://github.com/sl2902/credit_churn_prediction,Credit Card Churn Prediction,Web Service,web service
https://github.com/arybach/mlops-infra.git,AWS Metaflow Deployment Setup,Batch,batch
https://github.com/quinnavila/tricorderai,ICU Patient Assistance and Mortality,Batch,batch
https://github.com/lerummi/accident-severity-forecast,UK Road Safety Forecasting,Batch,batch
https://github.com/zabull1/mlops_churn_project,Churn Prediction Solution,Batch,batch
https://github.com/shayannejadshamsi/mlops_zoomcamp_final_project,Bank Churn Prediction,Unknown,
https://github.com/Chalermdej-l/Mlop_Project,Bank Subscription Predictor,Web Service,flask
https://github.com/dimzachar/xGoals-mlops,xG Machine Learning Pipeline,Streaming,stream
https://github.com/padmapria/customerchurn_prediction_mlops_project/tree/master,Unknown,Batch,batch
https://github.com/bbilmez/MLOps_final_project.git,Heart Risk Predictor,Unknown,
https://github.com/ranga4all1/stack-overflow-2023,Software Developer Compensation Prediction,Batch,batch
https://github.com/silvanmurre/electricity-demand-fc,Electricity Demand Forecasting Solution,Unknown,
https://github.com/JVAparicio/MLOps_Zoomcamp_Final_Project,Spam Email Classifier,Web Service,fastapi
https://github.com/AhmedFahim-git/diabetes_prediction,Diabetes Survival Prediction,Batch,batch
https://github.com/fitpred/mlops-zcamp-project,Used Car Price Estimator,Web Service,web service
https://github.com/atharvakavitkar/mlops-project,NYC Taxi Fare Prediction,Streaming,stream
https://github.com/fluentnumbers/portfolio_mlops,Fake News Classifier,Web Service,web service
https://github.com/moubashsir/mlops-project,Bike Booking Prediction,Batch,batch
https://github.com/aaalexlit/capitalbikeshare-mlops,Bike Ride Duration Prediction,Web Service,web service
https://github.com/tarasenya/mlopszoomcamp_final_project,Automated Heart Stroke Prediction,Web Service,flask
https://github.com/lucapug/e2e-bike-count-predictor,Seoul Bike Predictor,Web Service,flask
https://github.com/daniel-gheorghita/MLOps_car_price_prediction/tree/master,Unknown,Web Service,flask
https://github.com/arundac23/MLOPS-zoomcamp-2023-project/tree/master,Unknown,Web Service,flask
https://github.com/ayeffkay/mlops_zoomcamp_project,Music Genre Classifier,Batch,batch
https://github.com/kkruglik/mlops-zoomcamp-project,Churn Prediction Application,Web Service,fastapi
https://github.com/AbdallaAbker/mlops.git,Traffic Volume Prediction Model,Unknown,
