project_url,project_title
https://github.com/GermanoC0/course-ml-zoomcamp/tree/main/3rdProject,Garbage Classification AI Model
https://github.com/sleepypioneer/coffee-leaf-rust-predictor,Coffee Leaf Disease Prediction
https://github.com/snikhil17/Customer_Shopping_Intention,Customer Purchase Prediction
https://github.com/RickyMcMaster/pub_portfolio/tree/main/mlz/11-final-project,House Price Prediction Tool
https://GitHub.com/CMH-DS4A/ml_zoomcamp/tree/main/final_project,Vinho Verde Wine Predictor
https://github.com/ashok-arora/heart-attack-predictor,Heart Attack Predictor
https://github.com/anuj0721/mba_placement_prediction,MBA Placement Predictor
https://github.com/carlos9917/ml_project2,Greenland Wind Forecast
https://github.com/mikeonak/bankruptcy,Bankruptcy Prediction Analysis
https://github.com/Arvind644/water-quality-prediction-project,Water Quality Predictor
https://github.com/MSadriAghdam/Uber_Fare_Pricing,Uber Fare Analysis Tool
https://github.com/kallelay/MLZoomCampThirdProject,Automated Machine Failure Prediction
https://github.com/MMdeCastro/ml-zoomcamp/tree/main/S14_Third_Project,Heart Failure Prediction Tool
https://github.com/robmoore/zoomcamp-ts-project,Stock Price Prediction
https://github.com/sergelawson/MLZOOMCAMPP,Unknown
https://github.com/bizancio3/ml-zoomcamp/tree/main/12-capstone-project,Real-time Fire Warnings
https://github.com/kristiaan67/ml-zoomcamp/tree/master/capstone-project,Animal Sound Classifier
