project_url,project_title,Deployment Type,Reason
https://github.com/GermanoC0/course-ml-zoomcamp/tree/main/3rdProject,Garbage Classification AI Model,Unknown,
https://github.com/sleepypioneer/coffee-leaf-rust-predictor,Coffee Leaf Disease Prediction,Unknown,
https://github.com/snikhil17/Customer_Shopping_Intention,Customer Purchase Prediction,Web Service,flask
https://github.com/RickyMcMaster/pub_portfolio/tree/main/mlz/11-final-project,House Price Prediction Tool,Unknown,
https://GitHub.com/CMH-DS4A/ml_zoomcamp/tree/main/final_project,Vinho Verde Wine Predictor,Unknown,
https://github.com/ashok-arora/heart-attack-predictor,Heart Attack Predictor,Web Service,flask
https://github.com/anuj0721/mba_placement_prediction,MBA Placement Predictor,Unknown,
https://github.com/carlos9917/ml_project2,Greenland Wind Forecast,Web Service,flask
https://github.com/mikeonak/bankruptcy,Bankruptcy Prediction Analysis,Web Service,flask
https://github.com/Arvind644/water-quality-prediction-project,Water Quality Predictor,Unknown,
https://github.com/MSadriAghdam/Uber_Fare_Pricing,Uber Fare Analysis Tool,Web Service,web service
https://github.com/kallelay/MLZoomCampThirdProject,Automated Machine Failure Prediction,Web Service,flask
https://github.com/MMdeCastro/ml-zoomcamp/tree/main/S14_Third_Project,Heart Failure Prediction Tool,Unknown,
https://github.com/robmoore/zoomcamp-ts-project,Stock Price Prediction,Web Service,flask
https://github.com/sergelawson/MLZOOMCAMPP,Unknown,Unknown,
https://github.com/bizancio3/ml-zoomcamp/tree/main/12-capstone-project,Real-time Fire Warnings,Unknown,
https://github.com/kristiaan67/ml-zoomcamp/tree/master/capstone-project,Animal Sound Classifier,Unknown,
