,,,
1,reviewer_hash,project_hash,project_url
,,,
2,bcac484e2c5e81c159c1fac2ef0174a3522999ad,f255bd03008428c7155d785ca3018797b8797764,https://github.com/GermanoC0/course-ml-zoomcamp/tree/main/3rdProject
3,bcac484e2c5e81c159c1fac2ef0174a3522999ad,2e4895d02b0c2bf59f062ae45b2642156e49a5e5,https://github.com/sleepypioneer/coffee-leaf-rust-predictor
4,bcac484e2c5e81c159c1fac2ef0174a3522999ad,1f2952958f8c10469128caaaf6ede4e221fa84fe,https://github.com/snikhil17/Customer_Shopping_Intention
5,7d5b45abfd15ae1a569814dea3c9f7a511746a9a,a21feb5632195e1f3ac7c9cc7bc986a530a433e6,https://github.com/RickyMcMaster/pub_portfolio/tree/main/mlz/11-final-project
6,7d5b45abfd15ae1a569814dea3c9f7a511746a9a,e52d4e3aa9dbaeb513ef1d7be94cdbe4d75c3073,https://GitHub.com/CMH-DS4A/ml_zoomcamp/tree/main/final_project
7,7d5b45abfd15ae1a569814dea3c9f7a511746a9a,fccd5d19fa48b8dd664b333ac9450e88b4c77917,https://github.com/ashok-arora/heart-attack-predictor
8,2e4895d02b0c2bf59f062ae45b2642156e49a5e5,97471157d5ab17ad2c09d22fc08a31023250d50e,https://github.com/anuj0721/mba_placement_prediction
9,2e4895d02b0c2bf59f062ae45b2642156e49a5e5,5acb4aea40804805c77bec16d60815f590aa7634,https://github.com/carlos9917/ml_project2
10,2e4895d02b0c2bf59f062ae45b2642156e49a5e5,029adc58e589bae653694416b7dc1661f5630d80,https://github.com/mikeonak/bankruptcy
11,a21feb5632195e1f3ac7c9cc7bc986a530a433e6,fccd5d19fa48b8dd664b333ac9450e88b4c77917,https://github.com/ashok-arora/heart-attack-predictor
12,a21feb5632195e1f3ac7c9cc7bc986a530a433e6,f255bd03008428c7155d785ca3018797b8797764,https://github.com/GermanoC0/course-ml-zoomcamp/tree/main/3rdProject
13,a21feb5632195e1f3ac7c9cc7bc986a530a433e6,7d5b45abfd15ae1a569814dea3c9f7a511746a9a,https://github.com/Arvind644/water-quality-prediction-project
14,f255bd03008428c7155d785ca3018797b8797764,7ca848937cdd518db07ebc5c1462374f124f4964,https://github.com/MSadriAghdam/Uber_Fare_Pricing
15,f255bd03008428c7155d785ca3018797b8797764,bcac484e2c5e81c159c1fac2ef0174a3522999ad,https://github.com/kallelay/MLZoomCampThirdProject
16,f255bd03008428c7155d785ca3018797b8797764,97471157d5ab17ad2c09d22fc08a31023250d50e,https://github.com/anuj0721/mba_placement_prediction
17,f251db7236d9fd8a54a732d2870716d46eafb8d4,1f2952958f8c10469128caaaf6ede4e221fa84fe,https://github.com/snikhil17/Customer_Shopping_Intention
18,f251db7236d9fd8a54a732d2870716d46eafb8d4,8604a1595e06daa6d15dca93ba5ef68659e63076,https://github.com/MMdeCastro/ml-zoomcamp/tree/main/S14_Third_Project
19,f251db7236d9fd8a54a732d2870716d46eafb8d4,bcac484e2c5e81c159c1fac2ef0174a3522999ad,https://github.com/kallelay/MLZoomCampThirdProject
20,029adc58e589bae653694416b7dc1661f5630d80,11ce0ce54138b6ef3cc4e342aec12620d4f0403a,https://github.com/robmoore/zoomcamp-ts-project
