,,,,
1,reviewer_hash,project_hash,commit,project_url
,,,,
2,03211c4e28ecaf5897298d76657e2c3dd11ce5cd,22f2de366eed41ea1a4f93b5a364bbbbbffbae4f,f1b82de,https://github.com/rehamessameltagoury/Loan-Approval-Prediction
3,03211c4e28ecaf5897298d76657e2c3dd11ce5cd,f5bc6e0595f7b4b39a298e36498ac1f773ee502d,ebcd640,https://github.com/Nelsonlin0321/ml-bst-movielens1m-recommender-serving
4,03211c4e28ecaf5897298d76657e2c3dd11ce5cd,b8016e0d4f8d1b78e1a8c06ceb4c61a03f4ad7fc,ec6c633,https://github.com/khushal2911/mlops-zoomcamp/tree/main/07-project
5,de7cfdecacddc6a7ddf66b75056a80ac8c3c6939,c365d9de160b411b581cf0a6fc8c2c1882e156bd,7e370f8,https://github.com/anammari/mlops-zoomcamp-project-2023
6,de7cfdecacddc6a7ddf66b75056a80ac8c3c6939,97216b0f063a596fa934767628b38e65234179c0,fd421aa,https://github.com/celik-muhammed/MLOps-Zoomcamp-Module-7-Project-2-Citi-Bike-Ride-Duration-Prediction
7,de7cfdecacddc6a7ddf66b75056a80ac8c3c6939,623e3f95f3181b88a408146357599f0d06dba54b,2e08594,https://github.com/BoKatanKrize/kickstarter-mlops
8,bcc207a5a2ea6223a94ae2095a64ff09dc74d357,a4ade7ff251bd1714130ee768c0011fd133e2c1a,5c40ff5,https://github.com/FaresAmiar/mlops-zoomcamp-project
9,bcc207a5a2ea6223a94ae2095a64ff09dc74d357,6cb362ccfa596a35a0a7c703c71ded6df5a37872,83fb615,https://github.com/GiTilemac/mlops-project
10,bcc207a5a2ea6223a94ae2095a64ff09dc74d357,6efd52c58c08b54cc5c8d24ee177b900ed5e9860,321fa17,https://github.com/directdetour/MLOps-Project
11,76f71b482c39bd8412913bfd431c70b03c9925a8,59808c77d2563f391012dccff9d0d4805ca15e3d,0d13396,https://github.com/marcosppaiva/mlops-final-project
12,76f71b482c39bd8412913bfd431c70b03c9925a8,fc292963fead2674a67f852ad8417f6b102b64bd,dbc9094,https://github.com/benjpacheco/loan-data-project
13,76f71b482c39bd8412913bfd431c70b03c9925a8,c65b643f495addb4264d1454e91fc04ee79ef4b4,515b5cc,https://github.com/ynusinovich/mlops-zoomcamp-dtc/tree/main/project
14,c1fc59f28e6e3aea76a43399988c9d54739ac140,623e3f95f3181b88a408146357599f0d06dba54b,2e08594,https://github.com/BoKatanKrize/kickstarter-mlops
15,c1fc59f28e6e3aea76a43399988c9d54739ac140,03211c4e28ecaf5897298d76657e2c3dd11ce5cd,e36823b,https://github.com/KaleShreyas/turbo-fiesta
16,c1fc59f28e6e3aea76a43399988c9d54739ac140,d32a048f63ae00334cda7b7d81a4c6c9bfd444bf,6286581,https://github.com/ugm2/email-discriminator
17,8fda61230f1fbd98a250378be5636ce84ef4f4a0,b937fe6cf8e7e418706501eee428862239386a0d,2cc9143,https://github.com/louis-reinaldo/mlopsproject_eth_prediction/blob/main/07-project/
18,8fda61230f1fbd98a250378be5636ce84ef4f4a0,bbab23bc71cd88b2885cccdde51c581f34b8730a,d7366a7,https://github.com/inrsta/spotify-prediction-api
19,8fda61230f1fbd98a250378be5636ce84ef4f4a0,f5466abe6fdbe08617b712e2a49e8f7493879528,8afd82a,https://github.com/edcalderin/StudentDropout-Prediction-Mlops/changes
20,95937d7e4fa687955ff7b77686103a8e588a01ae,36509dc12b0d5898ddbb57c6c6daab97d3bdb752,02bcf50,https://github.com/henrikerola/mlops-zoomcamp-project
21,95937d7e4fa687955ff7b77686103a8e588a01ae,237cd54ad9a01821ffa2dce70d07123273d1f3c4,ad256ab,https://github.com/slchangtw/imdb_sentiment_analysis_mlops
22,95937d7e4fa687955ff7b77686103a8e588a01ae,16aea08464754dae66e1dbb1b70e1fcfd79b42a1,83e5e26,https://github.com/sl2902/credit_churn_prediction
23,7f733b9216609cf2f75fa63064ab8203a648b2b2,95937d7e4fa687955ff7b77686103a8e588a01ae,8a201ee,https://github.com/arybach/mlops-infra.git
24,7f733b9216609cf2f75fa63064ab8203a648b2b2,a4ade7ff251bd1714130ee768c0011fd133e2c1a,5c40ff5,https://github.com/FaresAmiar/mlops-zoomcamp-project
25,7f733b9216609cf2f75fa63064ab8203a648b2b2,b937fe6cf8e7e418706501eee428862239386a0d,2cc9143,https://github.com/louis-reinaldo/mlopsproject_eth_prediction/blob/main/07-project/
26,f5bc6e0595f7b4b39a298e36498ac1f773ee502d,de7cfdecacddc6a7ddf66b75056a80ac8c3c6939,eb4c062,https://github.com/quinnavila/tricorderai
27,f5bc6e0595f7b4b39a298e36498ac1f773ee502d,bcc207a5a2ea6223a94ae2095a64ff09dc74d357,1fcee4c,https://github.com/lerummi/accident-severity-forecast
28,f5bc6e0595f7b4b39a298e36498ac1f773ee502d,3b4f201e6a1c3b2566008c66556608cb9a32e7c8,53f8e53,https://github.com/zabull1/mlops_churn_project
29,9ddb5fabae7f004444bc3268d8b18098736a46ac,ffaa08e4e18cff93b6d61ed0119b68907dbb9056,ab60298,https://github.com/shayannejadshamsi/mlops_zoomcamp_final_project
30,9ddb5fabae7f004444bc3268d8b18098736a46ac,de7cfdecacddc6a7ddf66b75056a80ac8c3c6939,eb4c062,https://github.com/quinnavila/tricorderai
31,9ddb5fabae7f004444bc3268d8b18098736a46ac,97216b0f063a596fa934767628b38e65234179c0,fd421aa,https://github.com/celik-muhammed/MLOps-Zoomcamp-Module-7-Project-2-Citi-Bike-Ride-Duration-Prediction
32,c7efc479f8c09d8c0bfa860f1fcf15d5031a6a4c,0e55e54e83d5387ffebf46661e050f757daa1b3e,fc48c7e,https://github.com/Chalermdej-l/Mlop_Project
33,c7efc479f8c09d8c0bfa860f1fcf15d5031a6a4c,a8629fbd3c2607c6ba3321a53919923bc412aee2,6246e2d,https://github.com/dimzachar/xGoals-mlops
34,c7efc479f8c09d8c0bfa860f1fcf15d5031a6a4c,e12bafc46d58b5e16e8676b035744d6b38bb2673,4c689f5,https://github.com/bkraffa/mlopszoomcampproject
35,a2deddb0e18d94b7d5eb5913a7fa8e7176d07e78,424824a743dec8d8961dcf8e756e3d319a31cac7,9687905,https://github.com/padmapria/customerchurn_prediction_mlops_project/tree/master
36,a2deddb0e18d94b7d5eb5913a7fa8e7176d07e78,f5466abe6fdbe08617b712e2a49e8f7493879528,8afd82a,https://github.com/edcalderin/StudentDropout-Prediction-Mlops/changes
37,a2deddb0e18d94b7d5eb5913a7fa8e7176d07e78,de7cfdecacddc6a7ddf66b75056a80ac8c3c6939,eb4c062,https://github.com/quinnavila/tricorderai
38,59808c77d2563f391012dccff9d0d4805ca15e3d,24236867184432b335ee9c37aff1f5cb0f2c8b88,43b001a,https://github.com/bbilmez/MLOps_final_project.git
39,59808c77d2563f391012dccff9d0d4805ca15e3d,004881756eb93e940176bc02b086156c0c81f62f,d71fde7,https://github.com/ranga4all1/stack-overflow-2023
