,,,,
1,reviewer_hash,project_hash,commit,project_url
,,,,
2,45ee6f7c40e3e326f8c309258b0bfff4469e7a93,04dfc27a4ba5ce081e04c4586f9d3f0a5bb29dc4,458d9bd,https://github.com/KevsDe/madrid_house_price
3,45ee6f7c40e3e326f8c309258b0bfff4469e7a93,674e865cdc73de66e1a6d2f189e92dad9014475b,bf28fb1,https://github.com/alejomaar/Machine-Learning-Zoomcamp/tree/main/Midterm_proyect
4,45ee6f7c40e3e326f8c309258b0bfff4469e7a93,8476d3114902305705d1f5467dc3427b002bcfbc,dc9f6bd,https://github.com/cmigpereira/machine-learning-zoomcamp-midterm-project
5,351f7c838c98b3910270e876d37808c13252cf8d,5242b8c96e4c066e34def26459d6578a6a14ace9,7e3d7f5,https://github.com/Arcangis/Valid_Job_Prediction
6,351f7c838c98b3910270e876d37808c13252cf8d,a43b949d67f15316170d4c00cf1a3139a1ea0959,99d7a54,https://github.com/vlad-e/wine-quality
7,351f7c838c98b3910270e876d37808c13252cf8d,b234acbe91a1dae28c36ffa7bac272b01a6a5a10,370f105,https://github.com/jiujitsa/price_prediction_app
8,331a06b9cfa6920aed07f768056146532c1cf8c7,f2ea79e1f307018c7363849ffb1a1b7045ad9b77,b775019,https://github.com/Balsky99/midterm-project
9,331a06b9cfa6920aed07f768056146532c1cf8c7,8fd53394e239f905e499b7a0925d165a2c2923af,a01c181,https://github.com/starynin/mlzoomcamp/tree/main/Midterm%20Project
10,331a06b9cfa6920aed07f768056146532c1cf8c7,ea4af6af64c29a8b20d2ae4d8faffb97a3535d26,3b1c1dc,https://github.com/mayankdubey1996/flight_fare_prediction
11,a32a70964836b3563b0612e746fb63ac03f693f9,138ef1f0664b0ca3d4be166191e2def732d13ea0,9ad09ee,https://github.com/gladomat/mlzoomcamp_project_1
12,a32a70964836b3563b0612e746fb63ac03f693f9,08afe7c4abef321c2f6b56f308057de1e9935d48,defec91,https://github.com/rzabolotin/ml_zoomcamp_2022_project_1
13,a32a70964836b3563b0612e746fb63ac03f693f9,c1a5227c729490ad65b24cfeb4b80bb9844c2647,d64c06b,https://github.com/darkcorpd/ml-zoomcamp/tree/main/twitter-bots-classification
14,dc8eb74168085a61c0b81b8873c0009899988968,ae5ab5e45bd7893d9bdf4165205e7a7ba64d670b,c8ee4c2,https://github.com/skepticalchemist/heart_disease_risk_classifier
15,dc8eb74168085a61c0b81b8873c0009899988968,51d367b74ba52590d37a8bc935a6bc800efa2a21,597abdb,https://github.com/bhasarma/mlcoursezoom-camp/tree/main/WK08-09-midterm-project
16,dc8eb74168085a61c0b81b8873c0009899988968,8b3f56f72fdf9c54973d36fa048d68f2eedd0063,15b24c0,https://github.com/DvirFl/ML-ZoomCamp/tree/main/MidtermProject
17,16aea08464754dae66e1dbb1b70e1fcfd79b42a1,45ee6f7c40e3e326f8c309258b0bfff4469e7a93,21c889f,https://github.com/PatrickCmd/mlzoomcamp/tree/main/course-zoomcamp/mid-term-project
18,16aea08464754dae66e1dbb1b70e1fcfd79b42a1,f2ea79e1f307018c7363849ffb1a1b7045ad9b77,b775019,https://github.com/Balsky99/midterm-project
19,16aea08464754dae66e1dbb1b70e1fcfd79b42a1,bc2d288543f6daad2c26257582ab2162b8ace78a,5f6b0d1,https://github.com/Hertzspr/garment_productivity_rater
20,3beb999f136c5ed491ca5933b67ca128d2dc8479,9475efc09c9a6458f4bceed724cc69f36c39deb1,72ce47d,https://github.com/GreLeBr/mlzoom/tree/master/mid_proj
21,3beb999f136c5ed491ca5933b67ca128d2dc8479,69b10a136e3e269ecf2fb791772a532470805439,34a45a3,https://github.com/hamitguner/ML-zoomcamp/tree/main/midterm-project
22,3beb999f136c5ed491ca5933b67ca128d2dc8479,c590eefff0d65f2ebddfe8e0fcaa04d83cb3df20,d397ab7,https://github.com/angelineolapa/LBW-RiskPrediction
23,ae5ab5e45bd7893d9bdf4165205e7a7ba64d670b,537ce81fba20f8835d543d089ed8b9df8b96813c,7543c75,https://github.com/msinha251/mlzoomcamp-midterm-project-2022
